onset	duration	sample	event_type	face_type	rep_status	trial	rep_lag	value	stim_file
0.004	n/a	1	setup_right_sym	n/a	n/a	n/a	n/a	3	n/a
25.1161818182	n/a	6279	show_face_initial	famous_face	first_show	1	n/a	5	f074.bmp
25.9789090909	n/a	6494	show_circle	n/a	n/a	1	n/a	0	circle.bmp
26.0261818182	n/a	6506	left_press	n/a	n/a	1	n/a	256	n/a
27.678909090900003	n/a	6919	show_cross	n/a	n/a	2	n/a	1	cross.bmp
28.1734545455	n/a	7043	show_face	unfamiliar_face	first_show	2	n/a	13	u011.bmp
29.0598181818	n/a	7264	show_circle	n/a	n/a	2	n/a	0	circle.bmp
29.1116363636	n/a	7277	left_press	n/a	n/a	2	n/a	256	n/a
30.7598181818	n/a	7689	show_cross	n/a	n/a	3	n/a	1	cross.bmp
31.3307272727	n/a	7832	show_face	scrambled_face	first_show	3	n/a	17	s036.bmp
32.2798181818	n/a	8069	show_circle	n/a	n/a	3	n/a	0	circle.bmp
32.2952727273	n/a	8073	left_press	n/a	n/a	3	n/a	256	n/a
33.9798181818	n/a	8494	show_cross	n/a	n/a	4	n/a	1	cross.bmp
34.438	n/a	8609	show_face	famous_face	first_show	4	n/a	5	f112.bmp
35.0207272727	n/a	8755	right_press	n/a	n/a	4	n/a	4096	n/a
35.4343636364	n/a	8858	show_circle	n/a	n/a	4	n/a	0	circle.bmp
37.1343636364	n/a	9283	show_cross	n/a	n/a	5	n/a	1	cross.bmp
37.7789090909	n/a	9444	show_face	famous_face	immediate_repeat	5	1	6	f112.bmp
38.3270909091	n/a	9581	right_press	n/a	n/a	5	n/a	4096	n/a
38.6825454545	n/a	9670	show_circle	n/a	n/a	5	n/a	0	circle.bmp
40.3825454545	n/a	10095	show_cross	n/a	n/a	6	n/a	1	cross.bmp
40.9698181818	n/a	10242	show_face	unfamiliar_face	first_show	6	n/a	13	u066.bmp
41.5543636364	n/a	10388	left_press	n/a	n/a	6	n/a	256	n/a
41.9298181818	n/a	10482	show_circle	n/a	n/a	6	n/a	0	circle.bmp
43.629818181800005	n/a	10907	show_cross	n/a	n/a	7	n/a	1	cross.bmp
44.2770909091	n/a	11069	show_face	unfamiliar_face	immediate_repeat	7	1	14	u066.bmp
44.7452727273	n/a	11186	left_press	n/a	n/a	7	n/a	256	n/a
45.1461818182	n/a	11286	show_circle	n/a	n/a	7	n/a	0	circle.bmp
46.8461818182	n/a	11711	show_cross	n/a	n/a	8	n/a	1	cross.bmp
