name	electrode_name	type	units	sampling_frequency	gain	low_cutoff	high_cutoff	status	status_description
ch001	e001	LFP	uV	1000	500	0.1	300	good	n/a
ch002	e002	LFP	uV	1000	500	0.1	300	good	n/a
ch003	e003	LFP	uV	1000	500	0.1	300	good	n/a
ch004	e004	LFP	uV	1000	500	0.1	300	good	n/a
ch005	e005	LFP	uV	1000	500	0.1	300	good	n/a
ch006	e006	LFP	uV	1000	500	0.1	300	good	n/a
ch007	e007	LFP	uV	1000	500	0.1	300	good	n/a
ch008	e008	LFP	uV	1000	500	0.1	300	bad	high_noise
ch009	e009	LFP	uV	1000	500	0.1	300	good	n/a
ch010	e010	LFP	uV	1000	500	0.1	300	good	n/a
ch011	e011	LFP	uV	1000	500	0.1	300	good	n/a
ch012	e012	LFP	uV	1000	500	0.1	300	good	n/a
ch013	e013	LFP	uV	1000	500	0.1	300	good	n/a
ch014	e014	LFP	uV	1000	500	0.1	300	good	n/a
ch015	e015	LFP	uV	1000	500	0.1	300	good	n/a
ch016	e016	LFP	uV	1000	500	0.1	300	good	n/a
ch017	e017	HP	uV	30000	500	300	10000	good	n/a
ch018	e018	HP	uV	30000	500	300	10000	good	n/a
ch019	e019	HP	uV	30000	500	300	10000	good	n/a
ch020	e020	HP	uV	30000	500	300	10000	good	n/a
ch021	e021	HP	uV	30000	500	300	10000	good	n/a
ch022	e022	HP	uV	30000	500	300	10000	good	n/a
ch023	e023	HP	uV	30000	500	300	10000	good	n/a
ch024	e024	HP	uV	30000	500	300	10000	good	n/a
ch025	e025	HP	uV	30000	500	300	10000	good	n/a
ch026	e026	HP	uV	30000	500	300	10000	good	n/a
ch027	e027	HP	uV	30000	500	300	10000	good	n/a
ch028	e028	HP	uV	30000	500	300	10000	good	n/a
ch029	e029	HP	uV	30000	500	300	10000	good	n/a
ch030	e030	HP	uV	30000	500	300	10000	good	n/a
ch031	e031	HP	uV	30000	500	300	10000	good	n/a
ch032	e032	HP	uV	30000	500	300	10000	good	n/a
ch033	e033	LFP	uV	1000	500	0.1	300	good	n/a
ch034	e034	LFP	uV	1000	500	0.1	300	good	n/a
ch035	e035	LFP	uV	1000	500	0.1	300	good	n/a
ch036	e036	LFP	uV	1000	500	0.1	300	good	n/a
ch037	e037	LFP	uV	1000	500	0.1	300	good	n/a
ch038	e038	LFP	uV	1000	500	0.1	300	good	n/a
ch039	e039	LFP	uV	1000	500	0.1	300	good	n/a
ch040	e040	LFP	uV	1000	500	0.1	300	good	n/a
ch041	e041	HP	uV	30000	500	300	10000	good	n/a
ch042	e042	HP	uV	30000	500	300	10000	good	n/a
ch043	e043	HP	uV	30000	500	300	10000	good	n/a
ch044	e044	HP	uV	30000	500	300	10000	good	n/a
ch045	e045	HP	uV	30000	500	300	10000	good	n/a
ch046	e046	HP	uV	30000	500	300	10000	good	n/a
ch047	e047	HP	uV	30000	500	300	10000	good	n/a
ch048	e048	HP	uV	30000	500	300	10000	good	n/a
sync01	n/a	SYNC	V	30000	1	n/a	n/a	good	n/a
