name	reference	type	units	sampling_frequency	gain	low_cutoff	high_cutoff	status	status_description
ch001	ref01	LFP	uV	1000	500	0.1	300	good	n/a
ch002	ref01	LFP	uV	1000	500	0.1	300	good	n/a
ch003	ref01	LFP	uV	1000	500	0.1	300	good	n/a
ch004	ref01	LFP	uV	1000	500	0.1	300	good	n/a
ch005	ref01	LFP	uV	1000	500	0.1	300	good	n/a
ch006	ref01	LFP	uV	1000	500	0.1	300	good	n/a
ch007	ref01	LFP	uV	1000	500	0.1	300	good	n/a
ch008	ref01	LFP	uV	1000	500	0.1	300	bad	high_noise
ch009	ref01	LFP	uV	1000	500	0.1	300	good	n/a
ch010	ref01	LFP	uV	1000	500	0.1	300	good	n/a
ch011	ref01	LFP	uV	1000	500	0.1	300	good	n/a
ch012	ref01	LFP	uV	1000	500	0.1	300	good	n/a
ch013	ref01	LFP	uV	1000	500	0.1	300	good	n/a
ch014	ref01	LFP	uV	1000	500	0.1	300	good	n/a
ch015	ref01	LFP	uV	1000	500	0.1	300	good	n/a
ch016	ref01	LFP	uV	1000	500	0.1	300	good	n/a
ch017	ref01	HP	uV	30000	500	300	10000	good	n/a
ch018	ref01	HP	uV	30000	500	300	10000	good	n/a
ch019	ref01	HP	uV	30000	500	300	10000	good	n/a
ch020	ref01	HP	uV	30000	500	300	10000	good	n/a
ch021	ref01	HP	uV	30000	500	300	10000	good	n/a
ch022	ref01	HP	uV	30000	500	300	10000	good	n/a
ch023	ref01	HP	uV	30000	500	300	10000	good	n/a
ch024	ref01	HP	uV	30000	500	300	10000	good	n/a
ch025	ref01	HP	uV	30000	500	300	10000	good	n/a
ch026	ref01	HP	uV	30000	500	300	10000	good	n/a
ch027	ref01	HP	uV	30000	500	300	10000	good	n/a
ch028	ref01	HP	uV	30000	500	300	10000	good	n/a
ch029	ref01	HP	uV	30000	500	300	10000	good	n/a
ch030	ref01	HP	uV	30000	500	300	10000	good	n/a
ch031	ref01	HP	uV	30000	500	300	10000	good	n/a
ch032	ref01	HP	uV	30000	500	300	10000	good	n/a
sync01	n/a	SYNC	V	30000	1	n/a	n/a	good	n/a
