onset	duration	trial_type	rating_par
1.012	5.000	att_neut	n/a
7.003	1.360	rating_par	0.067
15.002	5.000	att_neg	n/a
21.010	0.614	rating_par	0.067
29.009	5.000	att_neg	n/a
36.012	0.460	rating_par	0.067
41.008	5.000	suppr_neg	n/a
48.011	0.804	rating_par	-0.933
53.006	5.000	suppr_neg	n/a
61.005	0.785	rating_par	1.067
69.005	5.000	att_neg	n/a
76.008	0.488	rating_par	2.067
83.011	5.000	suppr_neg	n/a
89.002	0.471	rating_par	0.067
100.005	5.000	att_neut	n/a
106.013	0.332	rating_par	-0.933
111.008	5.000	att_neut	n/a
117.016	0.665	rating_par	-0.933
121.016	5.000	suppr_neg	n/a
127.007	0.707	rating_par	-0.933
139.006	5.000	att_neg	n/a
146.009	0.344	rating_par	2.067
150.009	5.000	att_neut	n/a
157.012	0.437	rating_par	-0.933
163.003	5.000	suppr_neg	n/a
171.002	1.165	rating_par	-0.933
176.014	5.000	att_neut	n/a
183.001	1.006	rating_par	-0.933
188.013	5.000	att_neut	n/a
196.012	0.861	rating_par	-0.933
201.007	5.000	att_neg	n/a
208.011	0.599	rating_par	2.067
212.011	5.000	att_neut	n/a
219.014	0.353	rating_par	-0.933
225.005	5.000	att_neg	n/a
233.004	0.628	rating_par	2.067
240.007	5.000	att_neut	n/a
247.011	0.315	rating_par	-0.933
252.006	5.000	suppr_neg	n/a
259.010	0.903	rating_par	0.067
263.010	5.000	att_neg	n/a
270.013	0.626	rating_par	2.067
276.004	5.000	att_neg	n/a
285.015	0.391	rating_par	1.067
292.002	5.000	att_neut	n/a
301.014	0.498	rating_par	-0.933
307.005	5.000	suppr_neg	n/a
314.008	0.480	rating_par	-0.933
319.004	5.000	suppr_neg	n/a
325.011	1.763	rating_par	0.067
332.015	5.000	suppr_neg	n/a
339.002	0.504	rating_par	-0.933
344.014	5.000	suppr_neg	n/a
351.017	1.112	rating_par	0.067
355.017	5.000	att_neg	n/a
361.008	1.184	rating_par	0.067
365.007	5.000	att_neut	n/a
373.006	0.552	rating_par	-0.933
381.006	5.000	att_neg	n/a
387.013	0.938	rating_par	0.067
