onset	duration	trial_type	rating_par
1.008	5	att_neg	n/a
8.012	3	junk_rating	n/a
13.007	5	att_neut	n/a
19.015	3	rating_par	-0.621
29.006	5	att_neg	n/a
37.005	3	rating_par	1.379
43.013	5	suppr_neg	n/a
49.004	3	rating_par	0.379
53.003	5	suppr_neg	n/a
60.006	3	rating_par	0.379
65.002	5	suppr_neg	n/a
71.010	3	rating_par	-0.621
77.017	5	suppr_neg	n/a
84.004	3	rating_par	0.379
89.016	5	att_neut	n/a
95.007	3	rating_par	-0.621
99.007	5	att_neg	n/a
105.014	3	rating_par	0.379
111.005	5	att_neg	n/a
119.004	3	rating_par	0.379
127.004	5	suppr_neg	n/a
134.007	3	rating_par	-0.621
141.011	5	att_neut	n/a
147.002	3	rating_par	-0.621
151.003	5	att_neg	n/a
159.017	3	rating_par	-0.621
170.004	5	att_neut	n/a
177.007	3	rating_par	-0.621
183.015	5	att_neg	n/a
190.001	3	rating_par	0.379
194.018	5	att_neut	n/a
201.004	3	rating_par	-0.621
205.004	5	att_neut	n/a
212.007	3	rating_par	-0.621
217.003	5	suppr_neg	n/a
223.010	3	rating_par	0.379
233.018	5	att_neut	n/a
241.017	3	rating_par	-0.621
248.004	5	att_neg	n/a
254.012	3	rating_par	1.379
259.007	5	suppr_neg	n/a
266.010	3	rating_par	-0.621
272.018	5	att_neut	n/a
280.017	3	rating_par	0.379
285.012	5	att_neut	n/a
292.016	3	rating_par	-0.621
297.011	5	suppr_neg	n/a
305.010	3	rating_par	0.379
309.010	5	att_neg	n/a
316.013	3	rating_par	-0.621
320.013	5	suppr_neg	n/a
326.004	3	rating_par	-0.621
339.015	5	suppr_neg	n/a
347.014	3	rating_par	1.379
353.005	5	att_neg	n/a
362.017	3	rating_par	2.379
367.012	5	att_neg	n/a
375.011	3	rating_par	-0.621
380.007	5	att_neut	n/a
386.014	3	rating_par	-0.621
