name	x	y	z	coordinate_system	group	material	SurfaceArea	Manufacturer	ManufacturersModelName	type
sEMG1	0.00	0.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG2	4.00	0.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG3	8.00	0.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG4	12.00	0.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG5	16.00	0.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG6	20.00	0.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG7	24.00	0.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG8	28.00	0.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG9	32.00	0.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG10	36.00	0.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG11	40.00	0.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG12	44.00	0.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG13	44.00	4.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG14	40.00	4.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG15	36.00	4.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG16	32.00	4.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG17	28.00	4.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG18	24.00	4.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG19	20.00	4.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG20	16.00	4.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG21	12.00	4.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG22	8.00	4.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG23	4.00	4.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG24	0.00	4.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG25	-4.00	4.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
