onset	duration	trial_type	TrialType	Stimulus	SSD	Response	RT	CorrectGo	SuccStop
0.0	1.5	successful stop	1	1	0.3	0	0.0	0	1
3.0	1.5	go	0	0	0.0	50	0.565	1	0
6.0	1.5	go	0	1	0.0	49	0.572	1	0
8.5	1.5	go	0	0	0.0	50	0.4	1	0
11.0	1.5	failed stop	1	1	0.2	50	0.285	0	0
14.0	1.5	go	0	0	0.0	50	0.436	1	0
16.125	1.5	go	0	0	0.0	50	0.439	1	0
18.625	1.5	go	0	1	0.0	49	0.379	1	0
20.625	1.5	go	0	1	0.0	49	0.459	1	0
22.75	1.5	go	0	0	0.0	50	0.43	1	0
25.0	1.5	go	0	0	0.0	50	0.428	1	0
27.75	1.5	successful stop	1	1	0.15	0	0.0	0	1
30.625	1.5	go	0	1	0.0	49	0.451	1	0
32.75	1.5	failed stop	1	1	0.15	49	0.318	1	0
35.0	1.5	go	0	0	0.0	50	0.436	1	0
38.0	1.5	go	0	0	0.0	50	0.38	1	0
41.5	1.5	failed stop	1	0	0.35	50	0.461	1	0
43.625	1.5	go	0	0	0.0	50	0.516	1	0
45.625	1.5	go	0	1	0.0	49	0.371	1	0
48.625	1.5	go	0	1	0.0	49	0.347	1	0
51.625	1.5	go	0	0	0.0	50	0.395	1	0
53.75	1.5	successful stop	1	0	0.2	0	0.0	0	1
55.75	1.5	go	0	1	0.0	49	0.31	1	0
58.5	1.5	go	0	1	0.0	49	0.384	1	0
61.625	1.5	go	0	0	0.0	50	0.339	1	0
64.5	1.5	successful stop	1	0	0.15	0	0.0	0	1
69.125	1.5	go	0	1	0.0	49	0.351	1	0
71.5	1.5	go	0	1	0.0	49	0.344	1	0
73.75	1.5	go	0	0	0.0	50	0.454	1	0
76.125	1.5	go	0	1	0.0	49	0.383	1	0
78.875	1.5	go	0	1	0.0	49	0.561	1	0
81.0	1.5	failed stop	1	0	0.1	50	0.468	1	0
83.375	1.5	go	0	0	0.0	50	0.37	1	0
86.375	1.5	go	0	0	0.0	50	0.419	1	0
90.5	1.5	successful stop	1	1	0.05	0	0.0	0	1
93.625	1.5	go	0	1	0.0	49	0.443	1	0
95.875	1.5	go	0	0	0.0	50	0.521	1	0
98.0	1.5	go	0	0	0.0	50	0.604	1	0
100.375	1.5	go	0	1	0.0	49	0.692	1	0
103.625	1.5	failed stop	1	1	0.3	49	0.443	1	0
106.625	1.5	go	0	1	0.0	49	0.427	1	0
108.875	1.5	successful stop	1	1	0.2	0	0.0	0	1
111.75	1.5	go	0	0	0.0	50	0.398	1	0
114.0	1.5	go	0	0	0.0	50	0.46	1	0
116.125	1.5	go	0	0	0.0	50	0.399	1	0
121.125	1.5	go	0	0	0.0	50	0.391	1	0
123.125	1.5	go	0	1	0.0	49	0.399	1	0
125.125	1.5	successful stop	1	1	0.25	0	0.0	0	1
127.125	1.5	go	0	1	0.0	49	0.492	1	0
129.125	1.5	go	0	1	0.0	49	0.375	1	0
132.125	1.5	go	0	0	0.0	50	0.415	1	0
135.5	1.5	failed stop	1	0	0.3	50	0.408	1	0
138.25	1.5	successful stop	1	0	0.25	0	0.0	0	1
141.75	1.5	go	0	1	0.0	49	0.373	1	0
143.875	1.5	go	0	1	0.0	49	0.695	1	0
146.5	1.5	go	0	0	0.0	50	0.496	1	0
150.625	1.5	go	0	1	0.0	49	0.378	1	0
152.75	1.5	go	0	1	0.0	49	0.51	1	0
155.875	1.5	go	0	0	0.0	50	0.449	1	0
159.125	1.5	failed stop	1	0	0.25	50	0.59	1	0
163.0	1.5	successful stop	1	0	0.1	0	0.0	0	1
165.5	1.5	go	0	0	0.0	50	0.399	1	0
168.0	1.5	go	0	1	0.0	49	0.508	1	0
170.75	1.5	go	0	1	0.0	49	0.43	1	0
174.25	1.5	go	0	0	0.0	50	0.511	1	0
179.25	1.5	go	0	0	0.0	50	0.402	1	0
181.375	1.5	go	0	1	0.0	49	0.683	1	0
183.625	1.5	successful stop	1	1	0.2	0	0.0	0	1
185.75	1.5	go	0	0	0.0	50	0.63	1	0
187.75	1.5	go	0	1	0.0	49	0.35	1	0
190.625	1.5	go	0	0	0.0	50	0.443	1	0
192.625	1.5	failed stop	1	1	0.3	49	0.363	1	0
195.5	1.5	go	0	0	0.0	50	0.343	1	0
198.875	1.5	go	0	1	0.0	49	0.313	1	0
201.125	1.5	failed stop	1	1	0.25	49	0.287	1	0
204.125	1.5	go	0	0	0.0	50	0.319	1	0
206.25	1.5	go	0	0	0.0	50	0.418	1	0
208.5	1.5	go	0	0	0.0	50	0.4	1	0
210.75	1.5	go	0	1	0.0	49	0.294	1	0
213.25	1.5	successful stop	1	1	0.15	0	0.0	0	1
216.5	1.5	go	0	1	0.0	49	0.293	1	0
221.5	1.5	go	0	1	0.0	49	0.408	1	0
