name	type	units	sampling_frequency	tracked_point	component	orientation_component
head_ACCEL_x	ACCEL	m/s^2	199.882491186839	head	x	x
head_ACCEL_y	ACCEL	m/s^2	199.882491186839	head	y	y
head_ACCEL_z	ACCEL	m/s^2	199.882491186839	head	z	z
sternum_ACCEL_x	ACCEL	m/s^2	199.882491186839	sternum	x	x
sternum_ACCEL_y	ACCEL	m/s^2	199.882491186839	sternum	y	y
sternum_ACCEL_z	ACCEL	m/s^2	199.882491186839	sternum	z	z
leftUpperArm_ACCEL_x	ACCEL	m/s^2	199.882491186839	leftUpperArm	x	x
leftUpperArm_ACCEL_y	ACCEL	m/s^2	199.882491186839	leftUpperArm	y	y
leftUpperArm_ACCEL_z	ACCEL	m/s^2	199.882491186839	leftUpperArm	z	z
leftForeArm_ACCEL_x	ACCEL	m/s^2	199.882491186839	leftForeArm	x	x
leftForeArm_ACCEL_y	ACCEL	m/s^2	199.882491186839	leftForeArm	y	y
leftForeArm_ACCEL_z	ACCEL	m/s^2	199.882491186839	leftForeArm	z	z
rightUpperArm_ACCEL_x	ACCEL	m/s^2	199.882491186839	rightUpperArm	x	x
rightUpperArm_ACCEL_y	ACCEL	m/s^2	199.882491186839	rightUpperArm	y	y
rightUpperArm_ACCEL_z	ACCEL	m/s^2	199.882491186839	rightUpperArm	z	z
rightForeArm_ACCEL_x	ACCEL	m/s^2	199.882491186839	rightForeArm	x	x
rightForeArm_ACCEL_y	ACCEL	m/s^2	199.882491186839	rightForeArm	y	y
rightForeArm_ACCEL_z	ACCEL	m/s^2	199.882491186839	rightForeArm	z	z
pelvis_ACCEL_x	ACCEL	m/s^2	199.882491186839	pelvis	x	x
pelvis_ACCEL_y	ACCEL	m/s^2	199.882491186839	pelvis	y	y
pelvis_ACCEL_z	ACCEL	m/s^2	199.882491186839	pelvis	z	z
leftThigh_ACCEL_x	ACCEL	m/s^2	199.882491186839	leftThigh	x	x
leftThigh_ACCEL_y	ACCEL	m/s^2	199.882491186839	leftThigh	y	y
leftThigh_ACCEL_z	ACCEL	m/s^2	199.882491186839	leftThigh	z	z
leftShank_ACCEL_x	ACCEL	m/s^2	199.882491186839	leftShank	x	x
leftShank_ACCEL_y	ACCEL	m/s^2	199.882491186839	leftShank	y	y
leftShank_ACCEL_z	ACCEL	m/s^2	199.882491186839	leftShank	z	z
leftFoot_ACCEL_x	ACCEL	m/s^2	199.882491186839	leftFoot	x	x
leftFoot_ACCEL_y	ACCEL	m/s^2	199.882491186839	leftFoot	y	y
leftFoot_ACCEL_z	ACCEL	m/s^2	199.882491186839	leftFoot	z	z
rightThigh_ACCEL_x	ACCEL	m/s^2	199.882491186839	rightThigh	x	x
rightThigh_ACCEL_y	ACCEL	m/s^2	199.882491186839	rightThigh	y	y
rightThigh_ACCEL_z	ACCEL	m/s^2	199.882491186839	rightThigh	z	z
rightShank_ACCEL_x	ACCEL	m/s^2	199.882491186839	rightShank	x	x
rightShank_ACCEL_y	ACCEL	m/s^2	199.882491186839	rightShank	y	y
rightShank_ACCEL_z	ACCEL	m/s^2	199.882491186839	rightShank	z	z
rightFoot_ACCEL_x	ACCEL	m/s^2	199.882491186839	rightFoot	x	x
rightFoot_ACCEL_y	ACCEL	m/s^2	199.882491186839	rightFoot	y	y
rightFoot_ACCEL_z	ACCEL	m/s^2	199.882491186839	rightFoot	z	z
leftAnkle_ACCEL_x	ACCEL	m/s^2	199.882491186839	leftAnkle	x	x
leftAnkle_ACCEL_y	ACCEL	m/s^2	199.882491186839	leftAnkle	y	y
leftAnkle_ACCEL_z	ACCEL	m/s^2	199.882491186839	leftAnkle	z	z
rightAnkle_ACCEL_x	ACCEL	m/s^2	199.882491186839	rightAnkle	x	x
rightAnkle_ACCEL_y	ACCEL	m/s^2	199.882491186839	rightAnkle	y	y
rightAnkle_ACCEL_z	ACCEL	m/s^2	199.882491186839	rightAnkle	z	z
pocket_ACCEL_x	ACCEL	m/s^2	199.882491186839	pocket	x	x
pocket_ACCEL_y	ACCEL	m/s^2	199.882491186839	pocket	y	y
pocket_ACCEL_z	ACCEL	m/s^2	199.882491186839	pocket	z	z
head_GYRO_x	GYRO	rad/s	199.882491186839	head	x	x
head_GYRO_y	GYRO	rad/s	199.882491186839	head	y	y
head_GYRO_z	GYRO	rad/s	199.882491186839	head	z	z
sternum_GYRO_x	GYRO	rad/s	199.882491186839	sternum	x	x
sternum_GYRO_y	GYRO	rad/s	199.882491186839	sternum	y	y
sternum_GYRO_z	GYRO	rad/s	199.882491186839	sternum	z	z
leftUpperArm_GYRO_x	GYRO	rad/s	199.882491186839	leftUpperArm	x	x
leftUpperArm_GYRO_y	GYRO	rad/s	199.882491186839	leftUpperArm	y	y
leftUpperArm_GYRO_z	GYRO	rad/s	199.882491186839	leftUpperArm	z	z
leftForeArm_GYRO_x	GYRO	rad/s	199.882491186839	leftForeArm	x	x
leftForeArm_GYRO_y	GYRO	rad/s	199.882491186839	leftForeArm	y	y
leftForeArm_GYRO_z	GYRO	rad/s	199.882491186839	leftForeArm	z	z
rightUpperArm_GYRO_x	GYRO	rad/s	199.882491186839	rightUpperArm	x	x
rightUpperArm_GYRO_y	GYRO	rad/s	199.882491186839	rightUpperArm	y	y
rightUpperArm_GYRO_z	GYRO	rad/s	199.882491186839	rightUpperArm	z	z
rightForeArm_GYRO_x	GYRO	rad/s	199.882491186839	rightForeArm	x	x
rightForeArm_GYRO_y	GYRO	rad/s	199.882491186839	rightForeArm	y	y
rightForeArm_GYRO_z	GYRO	rad/s	199.882491186839	rightForeArm	z	z
pelvis_GYRO_x	GYRO	rad/s	199.882491186839	pelvis	x	x
pelvis_GYRO_y	GYRO	rad/s	199.882491186839	pelvis	y	y
pelvis_GYRO_z	GYRO	rad/s	199.882491186839	pelvis	z	z
leftThigh_GYRO_x	GYRO	rad/s	199.882491186839	leftThigh	x	x
leftThigh_GYRO_y	GYRO	rad/s	199.882491186839	leftThigh	y	y
leftThigh_GYRO_z	GYRO	rad/s	199.882491186839	leftThigh	z	z
leftShank_GYRO_x	GYRO	rad/s	199.882491186839	leftShank	x	x
leftShank_GYRO_y	GYRO	rad/s	199.882491186839	leftShank	y	y
leftShank_GYRO_z	GYRO	rad/s	199.882491186839	leftShank	z	z
leftFoot_GYRO_x	GYRO	rad/s	199.882491186839	leftFoot	x	x
leftFoot_GYRO_y	GYRO	rad/s	199.882491186839	leftFoot	y	y
leftFoot_GYRO_z	GYRO	rad/s	199.882491186839	leftFoot	z	z
rightThigh_GYRO_x	GYRO	rad/s	199.882491186839	rightThigh	x	x
rightThigh_GYRO_y	GYRO	rad/s	199.882491186839	rightThigh	y	y
rightThigh_GYRO_z	GYRO	rad/s	199.882491186839	rightThigh	z	z
rightShank_GYRO_x	GYRO	rad/s	199.882491186839	rightShank	x	x
rightShank_GYRO_y	GYRO	rad/s	199.882491186839	rightShank	y	y
rightShank_GYRO_z	GYRO	rad/s	199.882491186839	rightShank	z	z
rightFoot_GYRO_x	GYRO	rad/s	199.882491186839	rightFoot	x	x
rightFoot_GYRO_y	GYRO	rad/s	199.882491186839	rightFoot	y	y
rightFoot_GYRO_z	GYRO	rad/s	199.882491186839	rightFoot	z	z
leftAnkle_GYRO_x	GYRO	rad/s	199.882491186839	leftAnkle	x	x
leftAnkle_GYRO_y	GYRO	rad/s	199.882491186839	leftAnkle	y	y
leftAnkle_GYRO_z	GYRO	rad/s	199.882491186839	leftAnkle	z	z
rightAnkle_GYRO_x	GYRO	rad/s	199.882491186839	rightAnkle	x	x
rightAnkle_GYRO_y	GYRO	rad/s	199.882491186839	rightAnkle	y	y
rightAnkle_GYRO_z	GYRO	rad/s	199.882491186839	rightAnkle	z	z
pocket_GYRO_x	GYRO	rad/s	199.882491186839	pocket	x	x
pocket_GYRO_y	GYRO	rad/s	199.882491186839	pocket	y	y
pocket_GYRO_z	GYRO	rad/s	199.882491186839	pocket	z	z
head_MAGN_x	MAGN	T	199.882491186839	head	x	x
head_MAGN_y	MAGN	T	199.882491186839	head	y	y
head_MAGN_z	MAGN	T	199.882491186839	head	z	z
sternum_MAGN_x	MAGN	T	199.882491186839	sternum	x	x
sternum_MAGN_y	MAGN	T	199.882491186839	sternum	y	y
sternum_MAGN_z	MAGN	T	199.882491186839	sternum	z	z
leftUpperArm_MAGN_x	MAGN	T	199.882491186839	leftUpperArm	x	x
leftUpperArm_MAGN_y	MAGN	T	199.882491186839	leftUpperArm	y	y
leftUpperArm_MAGN_z	MAGN	T	199.882491186839	leftUpperArm	z	z
leftForeArm_MAGN_x	MAGN	T	199.882491186839	leftForeArm	x	x
leftForeArm_MAGN_y	MAGN	T	199.882491186839	leftForeArm	y	y
leftForeArm_MAGN_z	MAGN	T	199.882491186839	leftForeArm	z	z
rightUpperArm_MAGN_x	MAGN	T	199.882491186839	rightUpperArm	x	x
rightUpperArm_MAGN_y	MAGN	T	199.882491186839	rightUpperArm	y	y
rightUpperArm_MAGN_z	MAGN	T	199.882491186839	rightUpperArm	z	z
rightForeArm_MAGN_x	MAGN	T	199.882491186839	rightForeArm	x	x
rightForeArm_MAGN_y	MAGN	T	199.882491186839	rightForeArm	y	y
rightForeArm_MAGN_z	MAGN	T	199.882491186839	rightForeArm	z	z
pelvis_MAGN_x	MAGN	T	199.882491186839	pelvis	x	x
pelvis_MAGN_y	MAGN	T	199.882491186839	pelvis	y	y
pelvis_MAGN_z	MAGN	T	199.882491186839	pelvis	z	z
leftThigh_MAGN_x	MAGN	T	199.882491186839	leftThigh	x	x
leftThigh_MAGN_y	MAGN	T	199.882491186839	leftThigh	y	y
leftThigh_MAGN_z	MAGN	T	199.882491186839	leftThigh	z	z
leftShank_MAGN_x	MAGN	T	199.882491186839	leftShank	x	x
leftShank_MAGN_y	MAGN	T	199.882491186839	leftShank	y	y
leftShank_MAGN_z	MAGN	T	199.882491186839	leftShank	z	z
leftFoot_MAGN_x	MAGN	T	199.882491186839	leftFoot	x	x
leftFoot_MAGN_y	MAGN	T	199.882491186839	leftFoot	y	y
leftFoot_MAGN_z	MAGN	T	199.882491186839	leftFoot	z	z
rightThigh_MAGN_x	MAGN	T	199.882491186839	rightThigh	x	x
rightThigh_MAGN_y	MAGN	T	199.882491186839	rightThigh	y	y
