name	type	units	sampling_frequency	tracked_point	component	orientation_component
head_ACCEL_x	ACCEL	m/s^2	199.910514541387	head	x	x
head_ACCEL_y	ACCEL	m/s^2	199.910514541387	head	y	y
head_ACCEL_z	ACCEL	m/s^2	199.910514541387	head	z	z
sternum_ACCEL_x	ACCEL	m/s^2	199.910514541387	sternum	x	x
sternum_ACCEL_y	ACCEL	m/s^2	199.910514541387	sternum	y	y
sternum_ACCEL_z	ACCEL	m/s^2	199.910514541387	sternum	z	z
leftUpperArm_ACCEL_x	ACCEL	m/s^2	199.910514541387	leftUpperArm	x	x
leftUpperArm_ACCEL_y	ACCEL	m/s^2	199.910514541387	leftUpperArm	y	y
leftUpperArm_ACCEL_z	ACCEL	m/s^2	199.910514541387	leftUpperArm	z	z
leftForeArm_ACCEL_x	ACCEL	m/s^2	199.910514541387	leftForeArm	x	x
leftForeArm_ACCEL_y	ACCEL	m/s^2	199.910514541387	leftForeArm	y	y
leftForeArm_ACCEL_z	ACCEL	m/s^2	199.910514541387	leftForeArm	z	z
rightUpperArm_ACCEL_x	ACCEL	m/s^2	199.910514541387	rightUpperArm	x	x
rightUpperArm_ACCEL_y	ACCEL	m/s^2	199.910514541387	rightUpperArm	y	y
rightUpperArm_ACCEL_z	ACCEL	m/s^2	199.910514541387	rightUpperArm	z	z
rightForeArm_ACCEL_x	ACCEL	m/s^2	199.910514541387	rightForeArm	x	x
rightForeArm_ACCEL_y	ACCEL	m/s^2	199.910514541387	rightForeArm	y	y
rightForeArm_ACCEL_z	ACCEL	m/s^2	199.910514541387	rightForeArm	z	z
pelvis_ACCEL_x	ACCEL	m/s^2	199.910514541387	pelvis	x	x
pelvis_ACCEL_y	ACCEL	m/s^2	199.910514541387	pelvis	y	y
pelvis_ACCEL_z	ACCEL	m/s^2	199.910514541387	pelvis	z	z
leftThigh_ACCEL_x	ACCEL	m/s^2	199.910514541387	leftThigh	x	x
leftThigh_ACCEL_y	ACCEL	m/s^2	199.910514541387	leftThigh	y	y
leftThigh_ACCEL_z	ACCEL	m/s^2	199.910514541387	leftThigh	z	z
leftShank_ACCEL_x	ACCEL	m/s^2	199.910514541387	leftShank	x	x
leftShank_ACCEL_y	ACCEL	m/s^2	199.910514541387	leftShank	y	y
leftShank_ACCEL_z	ACCEL	m/s^2	199.910514541387	leftShank	z	z
leftFoot_ACCEL_x	ACCEL	m/s^2	199.910514541387	leftFoot	x	x
leftFoot_ACCEL_y	ACCEL	m/s^2	199.910514541387	leftFoot	y	y
leftFoot_ACCEL_z	ACCEL	m/s^2	199.910514541387	leftFoot	z	z
rightThigh_ACCEL_x	ACCEL	m/s^2	199.910514541387	rightThigh	x	x
rightThigh_ACCEL_y	ACCEL	m/s^2	199.910514541387	rightThigh	y	y
rightThigh_ACCEL_z	ACCEL	m/s^2	199.910514541387	rightThigh	z	z
rightShank_ACCEL_x	ACCEL	m/s^2	199.910514541387	rightShank	x	x
rightShank_ACCEL_y	ACCEL	m/s^2	199.910514541387	rightShank	y	y
rightShank_ACCEL_z	ACCEL	m/s^2	199.910514541387	rightShank	z	z
rightFoot_ACCEL_x	ACCEL	m/s^2	199.910514541387	rightFoot	x	x
rightFoot_ACCEL_y	ACCEL	m/s^2	199.910514541387	rightFoot	y	y
rightFoot_ACCEL_z	ACCEL	m/s^2	199.910514541387	rightFoot	z	z
leftAnkle_ACCEL_x	ACCEL	m/s^2	199.910514541387	leftAnkle	x	x
leftAnkle_ACCEL_y	ACCEL	m/s^2	199.910514541387	leftAnkle	y	y
leftAnkle_ACCEL_z	ACCEL	m/s^2	199.910514541387	leftAnkle	z	z
rightAnkle_ACCEL_x	ACCEL	m/s^2	199.910514541387	rightAnkle	x	x
rightAnkle_ACCEL_y	ACCEL	m/s^2	199.910514541387	rightAnkle	y	y
rightAnkle_ACCEL_z	ACCEL	m/s^2	199.910514541387	rightAnkle	z	z
pocket_ACCEL_x	ACCEL	m/s^2	199.910514541387	pocket	x	x
pocket_ACCEL_y	ACCEL	m/s^2	199.910514541387	pocket	y	y
pocket_ACCEL_z	ACCEL	m/s^2	199.910514541387	pocket	z	z
head_GYRO_x	GYRO	rad/s	199.910514541387	head	x	x
head_GYRO_y	GYRO	rad/s	199.910514541387	head	y	y
head_GYRO_z	GYRO	rad/s	199.910514541387	head	z	z
sternum_GYRO_x	GYRO	rad/s	199.910514541387	sternum	x	x
sternum_GYRO_y	GYRO	rad/s	199.910514541387	sternum	y	y
