onset	duration	event_type	description
0.0	120.5	task	speech description task
5.2	2.3	vocalization	first utterance begins
10.5	5.6	vocalization	description of main scene
18.3	3.2	pause	participant pauses to think
22.0	8.1	vocalization	description of characters
35.2	4.5	vocalization	description of background
45.0	2.0	cough	participant coughs
50.3	10.2	vocalization	description of actions
65.0	5.5	vocalization	emotional content description
75.8	8.9	vocalization	final summary
90.0	30.5	vocalization	free description continues
