name	component	type	tracked_point	units	sampling_frequency	placement	reference_frame
Rigid1_quat_w	quat_w	ORNT	Rigid1	n/a	89.301527667264	Rigid1	global
Rigid1_quat_x	quat_x	ORNT	Rigid1	n/a	89.301527667264	Rigid1	global
Rigid1_quat_y	quat_y	ORNT	Rigid1	n/a	89.301527667264	Rigid1	global
Rigid1_quat_z	quat_z	ORNT	Rigid1	n/a	89.301527667264	Rigid1	global
Rigid1_cart_x	x	POS	Rigid1	m	89.301527667264	Rigid1	global
Rigid1_cart_y	y	POS	Rigid1	m	89.301527667264	Rigid1	global
Rigid1_cart_z	z	POS	Rigid1	m	89.301527667264	Rigid1	global
Rigid1_Conf	n/a	MISC	Rigid1	n/a	89.301527667264	Rigid1	global
Rigid2_quat_w	quat_w	ORNT	Rigid2	n/a	89.301527667264	Rigid2	global
Rigid2_quat_x	quat_x	ORNT	Rigid2	n/a	89.301527667264	Rigid2	global
Rigid2_quat_y	quat_y	ORNT	Rigid2	n/a	89.301527667264	Rigid2	global
Rigid2_quat_z	quat_z	ORNT	Rigid2	n/a	89.301527667264	Rigid2	global
Rigid2_cart_x	x	POS	Rigid2	m	89.301527667264	Rigid2	global
Rigid2_cart_y	y	POS	Rigid2	m	89.301527667264	Rigid2	global
Rigid2_cart_z	z	POS	Rigid2	m	89.301527667264	Rigid2	global
Rigid2_Conf	n/a	MISC	Rigid2	n/a	89.301527667264	Rigid2	global
Rigid3_quat_w	quat_w	ORNT	Rigid3	n/a	89.301527667264	Rigid3	global
Rigid3_quat_x	quat_x	ORNT	Rigid3	n/a	89.301527667264	Rigid3	global
Rigid3_quat_y	quat_y	ORNT	Rigid3	n/a	89.301527667264	Rigid3	global
Rigid3_quat_z	quat_z	ORNT	Rigid3	n/a	89.301527667264	Rigid3	global
Rigid3_cart_x	x	POS	Rigid3	m	89.301527667264	Rigid3	global
Rigid3_cart_y	y	POS	Rigid3	m	89.301527667264	Rigid3	global
Rigid3_cart_z	z	POS	Rigid3	m	89.301527667264	Rigid3	global
Rigid3_Conf	n/a	MISC	Rigid3	n/a	89.301527667264	Rigid3	global
Rigid4_quat_w	quat_w	ORNT	Rigid4	n/a	89.301527667264	Rigid4	global
Rigid4_quat_x	quat_x	ORNT	Rigid4	n/a	89.301527667264	Rigid4	global
Rigid4_quat_y	quat_y	ORNT	Rigid4	n/a	89.301527667264	Rigid4	global
Rigid4_quat_z	quat_z	ORNT	Rigid4	n/a	89.301527667264	Rigid4	global
Rigid4_cart_x	x	POS	Rigid4	m	89.301527667264	Rigid4	global
Rigid4_cart_y	y	POS	Rigid4	m	89.301527667264	Rigid4	global
Rigid4_cart_z	z	POS	Rigid4	m	89.301527667264	Rigid4	global
Rigid4_Conf	n/a	MISC	Rigid4	n/a	89.301527667264	Rigid4	global
PhaseSpace_latency	n/a	LATENCY	n/a	seconds	89.301527667264	n/a	n/a
