onset	duration	trial_type	congruent_incorrect	incongruent_incorrect	Rsponse	StimVar	Stimulus	ResponseTime
0.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	1106
10.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	869
20.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	1081
30.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	813
40.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	977
52.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	797
64.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	869
76.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	706
88.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	805
102.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	669
116.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	656
130.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	834
144.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	676
154.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	655
164.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	938
174.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	823
184.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	763
196.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	837
208.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	919
220.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	867
232.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	1661
246.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	792
260.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	761
274.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	819
