onset	duration	trial_type	value	sample
0.005	0	discontinuity	2	1
0.005	0	eyes closed	65	1
309.685	0	eyes opened	66	61937
324.165	0	eyes closed	65	64833
346.075	0	eyes opened	66	69215
364.065	0	eyes closed	65	72813
381.795	0	eyes opened	66	76359
398.135	0	eyes closed	65	79627
414.805	0	eyes opened	66	82961
430.145	0	eyes closed	65	86029
439.975	0	eyes opened	66	87995
458.835	0	eyes closed	65	91767
482.425	0	eyes opened	66	96485
497.725	0	eyes closed	65	99545
512.685	0	eyes opened	66	102537
534.335	0	eyes closed	65	106867
556.825	0	eyes opened	66	111365
573.285	0	eyes closed	65	114657
583.275	0	eyes opened	66	116655
599.465	0	eyes closed	65	119893
612.745	0	eyes opened	66	122549
630.805	0	eyes closed	65	126161
634.505	0	discontinuity	2	126901
639.355	0	hyperventilation 1	67	127871
700.905	0	hyperventilation 2	68	140181
764.575	0	hyperventilation 3	69	152915
828.625	0	recuperation	70	165725
927.885	0	discontinuity	2	185577
930.125	0	discontinuity	2	186025
