onset	duration	trial_type	congruent_incorrect	incongruent_incorrect	Rsponse	StimVar	Stimulus	ResponseTime
0.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	772
10.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	950
20.000	2.000	incongruent_correct	n/a	n/a	1	1	 congruent	618
30.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	655
42.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	537
52.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	524
64.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	624
76.000	2.000	congruent_correct	n/a	n/a	1	2	 incongruent	578
88.000	2.000	congruent_correct	n/a	n/a	1	2	 incongruent	636
102.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	584
116.000	2.000	congruent_correct	n/a	n/a	1	2	 incongruent	624
126.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	685
136.000	2.000	incongruent_correct	n/a	n/a	1	1	 congruent	1129
150.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	595
164.000	2.000	incongruent_correct	n/a	n/a	1	1	 congruent	845
174.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	704
184.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	868
196.000	2.000	congruent_correct	n/a	n/a	1	2	 incongruent	510
208.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	568
220.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	755
234.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	662
246.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	801
260.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	571
274.000	2.000	incongruent_correct	n/a	n/a	1	1	 congruent	885
