filename	"Cue_Onset	Stim_Onset	Object_Cond	Validity_Cond	Obj_Accuracy	Obj_Acc_RT	Subseq_Recog	Subseq_Recog_RT	Subseq_Source_Mem_Acc	Subseq_Source_Mem_Acc_RT"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"4.0001	10.0001	OBJ	V	1	0.63943	UT	UT	UT	UT"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"12.0016	16.0016	OBJ	V	1	0.58126	HC-HIT	 1.0188	1	0.34188"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"18.001	24.001	GRE	V	1	0.61915	UT	UT	UT	UT"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"28.0009	30.0009	OBJ	NV	1	 0.7427	HC-HIT	 1.1526	1	0.36943"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"32.0009	38.0009	OBJ	V	1	0.59597	UT	UT	UT	UT"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"40.0018	42.0018	GRE	V	1	0.66621	UT	UT	UT	UT"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"44.0015	48.0015	GRE	V	1	0.55214	UT	UT	UT	UT"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"50.0012	52.0012	OBJ	V	1	0.67806	LC-HIT	 2.6639	1	0.37443"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"56.0011	60.0011	OBJ	NV	1	0.75521	HC-HIT	0.91843	1	0.40996"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"64.0008	70.0008	GRE	V	1	0.60635	UT	UT	UT	UT"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"72.0007	74.0007	GRE	V	1	0.62919	UT	UT	UT	UT"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"76.0008	78.0008	OBJ	V	1	0.75657	LC-MISS	 2.2099	UT	UT"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"80.0015	86.0015	OBJ	V	1	0.66421	HC-HIT	 1.0756	1	0.34868"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"88.0012	90.0012	OBJ	V	1	0.93525	HC-HIT	 1.4621	1	1.0154"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"92.001	96.001	OBJ	NV	1	0.74065	HC-HIT	  0.863	1	0.3874"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"98.0012	104.0012	OBJ	V	1	0.58464	LC-HIT	 1.2312	1	0.25197"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"106.0018	110.0018	OBJ	V	1	 0.5747	LC-HIT	 2.1628	0	0.48558"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"112.0008	118.0008	OBJ	V	1	 0.6517	HC-HIT	  1.098	1	0.41175"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"122.0015	128.0015	GRE	V	1	0.65604	UT	UT	UT	UT"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"132.0009	136.0009	OBJ	V	1	0.56415	HC-HIT	  1.066	1	0.2843"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"138.0015	144.0015	GRE	V	1	0.62465	UT	UT	UT	UT"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"146.0011	150.0011	OBJ	V	1	 0.5752	HC-HIT	 1.5265	1	0.51515"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"152.0009	154.0009	GRE	NV	1	 0.6778	UT	UT	UT	UT"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"156.0018	160.0018	OBJ	V	1	0.58777	HC-HIT	 1.0239	1	2.3309"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"164.0019	170.0019	OBJ	V	1	 0.5343	LC-HIT	 1.6051	1	0.32584"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"174.0014	178.0014	OBJ	NV	0	 1.0762	HC-HIT	 1.2794	1	0.48773"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"180.0011	186.0011	GRE	V	1	0.76918	UT	UT	UT	UT"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"188.0015	192.0015	OBJ	V	1	 1.1498	LC-HIT	 2.2429	1	0.88033"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"198.0009	204.0009	OBJ	V	1	 0.6333	UT	UT	UT	UT"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"206.0007	208.0007	OBJ	V	1	0.74439	UT	UT	UT	UT"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"210.0018	214.0018	OBJ	V	1	0.62094	HC-HIT	 1.0224	1	0.29981"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"216.0017	222.0017	OBJ	V	1	0.61791	HC-HIT	 1.0309	1	0.56294"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"224.0019	226.0019	OBJ	NV	1	0.74446	LC-HIT	 1.7469	1	0.56598"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"232.0011	238.0011	GRE	V	1	0.82743	UT	UT	UT	UT"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"240.0018	242.0018	OBJ	V	1	0.65007	HC-HIT	  1.112	1	0.38603"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"244.0018	246.0018	OBJ	V	1	0.81695	HC-HIT	0.88874	1	0.37879"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"248.0013	252.0013	OBJ	V	1	0.64694	HC-HIT	0.83905	1	0.3645"
func/sub-18task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"256.001	258.001	GRE	V	1	0.61166	UT	UT	UT	UT"
