name	type	units	reference	target_muscle	group	signal_electrode
EMG1	emg	V	R1	vastus medialis	Grid1	E1
EMG2	emg	V	R1	vastus medialis	Grid1	E2
EMG3	emg	V	R1	vastus medialis	Grid1	E3
EMG4	emg	V	R1	vastus medialis	Grid1	E4
EMG5	emg	V	R1	vastus medialis	Grid1	E5
EMG6	emg	V	R1	vastus medialis	Grid1	E6
EMG7	emg	V	R1	vastus medialis	Grid1	E7
EMG8	emg	V	R1	vastus medialis	Grid1	E8
EMG9	emg	V	R1	vastus medialis	Grid1	E9
EMG10	emg	V	R1	vastus medialis	Grid1	E10
EMG11	emg	V	R1	vastus medialis	Grid1	E11
EMG12	emg	V	R1	vastus medialis	Grid1	E12
EMG13	emg	V	R1	vastus medialis	Grid1	E13
EMG14	emg	V	R1	vastus medialis	Grid1	E14
EMG15	emg	V	R1	vastus medialis	Grid1	E15
EMG16	emg	V	R1	vastus medialis	Grid1	E16
EMG17	emg	V	R1	vastus medialis	Grid1	E17
EMG18	emg	V	R1	vastus medialis	Grid1	E18
EMG19	emg	V	R1	vastus medialis	Grid1	E19
EMG20	emg	V	R1	vastus medialis	Grid1	E20
EMG21	emg	V	R1	vastus medialis	Grid1	E21
EMG22	emg	V	R1	vastus medialis	Grid1	E22
EMG23	emg	V	R1	vastus medialis	Grid1	E23
EMG24	emg	V	R1	vastus medialis	Grid1	E24
EMG25	emg	V	R1	vastus medialis	Grid1	E25
EMG26	emg	V	R1	vastus medialis	Grid1	E26
EMG27	emg	V	R1	vastus medialis	Grid1	E27
EMG28	emg	V	R1	vastus medialis	Grid1	E28
EMG29	emg	V	R1	vastus medialis	Grid1	E29
EMG30	emg	V	R1	vastus medialis	Grid1	E30
EMG31	emg	V	R1	vastus medialis	Grid1	E31
EMG32	emg	V	R1	vastus medialis	Grid1	E32
EMG33	emg	V	R1	vastus medialis	Grid1	E33
EMG34	emg	V	R1	vastus medialis	Grid1	E34
EMG35	emg	V	R1	vastus medialis	Grid1	E35
EMG36	emg	V	R1	vastus medialis	Grid1	E36
EMG37	emg	V	R1	vastus medialis	Grid1	E37
EMG38	emg	V	R1	vastus medialis	Grid1	E38
EMG39	emg	V	R1	vastus medialis	Grid1	E39
EMG40	emg	V	R1	vastus medialis	Grid1	E40
EMG41	emg	V	R1	vastus medialis	Grid1	E41
EMG42	emg	V	R1	vastus medialis	Grid1	E42
EMG43	emg	V	R1	vastus medialis	Grid1	E43
EMG44	emg	V	R1	vastus medialis	Grid1	E44
EMG45	emg	V	R1	vastus medialis	Grid1	E45
EMG46	emg	V	R1	vastus medialis	Grid1	E46
EMG47	emg	V	R1	vastus medialis	Grid1	E47
EMG48	emg	V	R1	vastus medialis	Grid1	E48
EMG49	emg	V	R1	vastus medialis	Grid1	E49
EMG50	emg	V	R1	vastus medialis	Grid1	E50
EMG51	emg	V	R1	vastus medialis	Grid1	E51
EMG52	emg	V	R1	vastus medialis	Grid1	E52
EMG53	emg	V	R1	vastus medialis	Grid1	E53
EMG54	emg	V	R1	vastus medialis	Grid1	E54
EMG55	emg	V	R1	vastus medialis	Grid1	E55
EMG56	emg	V	R1	vastus medialis	Grid1	E56
EMG57	emg	V	R1	vastus medialis	Grid1	E57
EMG58	emg	V	R1	vastus medialis	Grid1	E58
EMG59	emg	V	R1	vastus medialis	Grid1	E59
EMG60	emg	V	R1	vastus medialis	Grid1	E60
EMG61	emg	V	R1	vastus medialis	Grid1	E61
EMG62	emg	V	R1	vastus medialis	Grid1	E62
EMG63	emg	V	R1	vastus medialis	Grid1	E63
EMG64	emg	V	R1	vastus medialis	Grid1	E64
EMG65	emg	V	R2	vastus lateralis	Grid2	E65
EMG66	emg	V	R2	vastus lateralis	Grid2	E66
EMG67	emg	V	R2	vastus lateralis	Grid2	E67
EMG68	emg	V	R2	vastus lateralis	Grid2	E68
EMG69	emg	V	R2	vastus lateralis	Grid2	E69
EMG70	emg	V	R2	vastus lateralis	Grid2	E70
EMG71	emg	V	R2	vastus lateralis	Grid2	E71
EMG72	emg	V	R2	vastus lateralis	Grid2	E72
EMG73	emg	V	R2	vastus lateralis	Grid2	E73
EMG74	emg	V	R2	vastus lateralis	Grid2	E74
EMG75	emg	V	R2	vastus lateralis	Grid2	E75
EMG76	emg	V	R2	vastus lateralis	Grid2	E76
EMG77	emg	V	R2	vastus lateralis	Grid2	E77
EMG78	emg	V	R2	vastus lateralis	Grid2	E78
EMG79	emg	V	R2	vastus lateralis	Grid2	E79
EMG80	emg	V	R2	vastus lateralis	Grid2	E80
EMG81	emg	V	R2	vastus lateralis	Grid2	E81
EMG82	emg	V	R2	vastus lateralis	Grid2	E82
EMG83	emg	V	R2	vastus lateralis	Grid2	E83
EMG84	emg	V	R2	vastus lateralis	Grid2	E84
EMG85	emg	V	R2	vastus lateralis	Grid2	E85
EMG86	emg	V	R2	vastus lateralis	Grid2	E86
EMG87	emg	V	R2	vastus lateralis	Grid2	E87
EMG88	emg	V	R2	vastus lateralis	Grid2	E88
EMG89	emg	V	R2	vastus lateralis	Grid2	E89
EMG90	emg	V	R2	vastus lateralis	Grid2	E90
EMG91	emg	V	R2	vastus lateralis	Grid2	E91
EMG92	emg	V	R2	vastus lateralis	Grid2	E92
EMG93	emg	V	R2	vastus lateralis	Grid2	E93
EMG94	emg	V	R2	vastus lateralis	Grid2	E94
EMG95	emg	V	R2	vastus lateralis	Grid2	E95
EMG96	emg	V	R2	vastus lateralis	Grid2	E96
EMG97	emg	V	R2	vastus lateralis	Grid2	E97
EMG98	emg	V	R2	vastus lateralis	Grid2	E98
EMG99	emg	V	R2	vastus lateralis	Grid2	E99
EMG100	emg	V	R2	vastus lateralis	Grid2	E100
EMG101	emg	V	R2	vastus lateralis	Grid2	E101
EMG102	emg	V	R2	vastus lateralis	Grid2	E102
EMG103	emg	V	R2	vastus lateralis	Grid2	E103
EMG104	emg	V	R2	vastus lateralis	Grid2	E104
EMG105	emg	V	R2	vastus lateralis	Grid2	E105
EMG106	emg	V	R2	vastus lateralis	Grid2	E106
EMG107	emg	V	R2	vastus lateralis	Grid2	E107
EMG108	emg	V	R2	vastus lateralis	Grid2	E108
EMG109	emg	V	R2	vastus lateralis	Grid2	E109
EMG110	emg	V	R2	vastus lateralis	Grid2	E110
EMG111	emg	V	R2	vastus lateralis	Grid2	E111
EMG112	emg	V	R2	vastus lateralis	Grid2	E112
EMG113	emg	V	R2	vastus lateralis	Grid2	E113
EMG114	emg	V	R2	vastus lateralis	Grid2	E114
EMG115	emg	V	R2	vastus lateralis	Grid2	E115
EMG116	emg	V	R2	vastus lateralis	Grid2	E116
EMG117	emg	V	R2	vastus lateralis	Grid2	E117
EMG118	emg	V	R2	vastus lateralis	Grid2	E118
EMG119	emg	V	R2	vastus lateralis	Grid2	E119
EMG120	emg	V	R2	vastus lateralis	Grid2	E120
EMG121	emg	V	R2	vastus lateralis	Grid2	E121
EMG122	emg	V	R2	vastus lateralis	Grid2	E122
EMG123	emg	V	R2	vastus lateralis	Grid2	E123
EMG124	emg	V	R2	vastus lateralis	Grid2	E124
EMG125	emg	V	R2	vastus lateralis	Grid2	E125
EMG126	emg	V	R2	vastus lateralis	Grid2	E126
EMG127	emg	V	R2	vastus lateralis	Grid2	E127
EMG128	emg	V	R2	vastus lateralis	Grid2	E128
