onset	duration	trial_type	congruent_incorrect	incongruent_incorrect	Unnamed: 1	Rsponse	StimVar	Stimulus	ResponseTime
0.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	754	n/a
2.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	441	n/a
10.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	701	n/a
12.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	469	n/a
15.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	499	n/a
17.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	467	n/a
25.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	823	n/a
27.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	374	n/a
30.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	502	n/a
32.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	428	n/a
35.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	499	n/a
37.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	474	n/a
40.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	577	n/a
42.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	615	n/a
45.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	422	n/a
47.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	445	n/a
50.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	468	n/a
52.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	578	n/a
60.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	871	n/a
62.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	383	n/a
65.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	485	n/a
67.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	516	n/a
75.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	520	n/a
77.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	464	n/a
80.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	438	n/a
82.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	678	n/a
85.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	468	n/a
87.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	435	n/a
90.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	458	n/a
92.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	529	n/a
95.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	527	n/a
97.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	558	n/a
100.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	477	n/a
102.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	500	n/a
105.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	499	n/a
107.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	489	n/a
110.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	465	n/a
112.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	487	n/a
120.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	692	n/a
122.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	331	n/a
125.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	346	n/a
127.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	520	n/a
130.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	416	n/a
132.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	518	n/a
135.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	389	n/a
