index	name	hemisphere
0	Background	n/a
1	Amygdala_centromedial group	n/a
2	Amygdala_laterobasal group	n/a
3	Amygdala_superficial group	n/a
4	Anterior intra-parietal sulcus hIP1	n/a
5	Anterior intra-parietal sulcus hIP2	n/a
6	Anterior intra-parietal sulcus hIP3	n/a
7	Broca's area BA44	n/a
8	Broca's area BA45	n/a
9	Hippocampus cornu ammonis	n/a
10	Hippocampus dentate gyrus	n/a
11	Hippocampus entorhinal cortex	n/a
12	Hippocampus hippocampal-amygdaloid transition area	n/a
13	Hippocampus subiculum	n/a
14	Inferior parietal lobule PF	n/a
15	Inferior parietal lobule PFcm	n/a
16	Inferior parietal lobule PFm	n/a
17	Inferior parietal lobule PFop	n/a
18	Inferior parietal lobule PFt	n/a
19	Inferior parietal lobule PGp	n/a
20	Inferior parietal lobule Pga	n/a
21	Insula Id1	n/a
22	Insula Ig1	n/a
23	Insula Ig2	n/a
24	Lateral geniculate body	n/a
25	Mamillary body	n/a
26	Medial geniculate body	n/a
27	Premotor cortex BA6	n/a
28	Primary auditory cortex TE1.0	n/a
29	Primary auditory cortex TE1.1	n/a
30	Primary auditory cortex TE1.2	n/a
31	Primary motor cortex BA4a	n/a
32	Primary motor cortex BA4p	n/a
33	Primary somatosensory cortex BA1	n/a
34	Primary somatosensory cortex BA2	n/a
35	Primary somatosensory cortex BA3a	n/a
36	Primary somatosensory cortex BA3b	n/a
37	Secondary somatosensory cortex / Parietal operculum OP1	n/a
38	Secondary somatosensory cortex / Parietal operculum OP2	n/a
39	Secondary somatosensory cortex / Parietal operculum OP3	n/a
40	Secondary somatosensory cortex / Parietal operculum OP4	n/a
41	Superior parietal lobule 5Ci	n/a
42	Superior parietal lobule 5L	n/a
43	Superior parietal lobule 5M	n/a
44	Superior parietal lobule 7A	n/a
45	Superior parietal lobule 7M	n/a
46	Superior parietal lobule 7P	n/a
47	Superior parietal lobule 7PC	n/a
48	Visual cortex V1 BA17	n/a
49	Visual cortex V2 BA18	n/a
50	Visual cortex V3V	n/a
51	Visual cortex V4	n/a
52	Visual cortex V5	n/a
53	Acoustic radiation	n/a
54	Callosal body	n/a
55	Cingulum	n/a
56	Corticospinal tract	n/a
57	Fornix	n/a
58	Inferior occipito-frontal fascicle	n/a
59	Optic radiation	n/a
60	Superior longitudinal fascicle	n/a
61	Superior occipito-frontal fascicle	n/a
62	Uncinate fascicle	n/a
