index	name	volume-mm3
2	Left-Cerebral-White-Matter	272277.0
4	Left-Lateral-Ventricle	4777.0
5	Left-Inf-Lat-Vent	257.0
7	Left-Cerebellum-White-Matter	15918.0
8	Left-Cerebellum-Cortex	58301.0
10	Left-Thalamus	9662.0
11	Left-Caudate	3812.0
12	Left-Putamen	5617.0
13	Left-Pallidum	2095.0
14	3rd-Ventricle	657.0
15	4th-Ventricle	2144.0
16	Brain-Stem	14475.0
17	Left-Hippocampus	5427.0
18	Left-Amygdala	2154.0
24	CSF	1371.0
26	Left-Accumbens-area	795.0
28	Left-VentralDC	5160.0
30	Left-vessel	13.0
31	Left-choroid-plexus	442.0
41	Right-Cerebral-White-Matter	274181.1
43	Right-Lateral-Ventricle	5267.0
44	Right-Inf-Lat-Vent	431.0
46	Right-Cerebellum-White-Matter	15303.0
47	Right-Cerebellum-Cortex	61015.0
49	Right-Thalamus	9113.0
50	Right-Caudate	3623.0
51	Right-Putamen	5504.0
52	Right-Pallidum	2036.0
53	Right-Hippocampus	5384.0
54	Right-Amygdala	2058.0
58	Right-Accumbens-area	893.0
60	Right-VentralDC	5205.0
62	Right-vessel	4.0
63	Right-choroid-plexus	495.0
85	Optic-Chiasm	191.0
130	AirCavity	133954.0
165	Skull	1255006.0
172	Vermis	2256.0
174	Pons	11079.0
257	CSF-ExtraCerebral	231065.5
258	Head-ExtraCerebral	1012955.0
1001	ctx-lh-bankssts	3004.2
1002	ctx-lh-caudalanteriorcingulate	1519.6
1003	ctx-lh-caudalmiddlefrontal	5353.8
1005	ctx-lh-cuneus	4121.4
1006	ctx-lh-entorhinal	2726.4
1007	ctx-lh-fusiform	11171.2
1008	ctx-lh-inferiorparietal	13541.6
1009	ctx-lh-inferiortemporal	13788.9
1010	ctx-lh-isthmuscingulate	3961.4
1011	ctx-lh-lateraloccipital	13608.1
1012	ctx-lh-lateralorbitofrontal	9392.4
1013	ctx-lh-lingual	8302.6
1014	ctx-lh-medialorbitofrontal	5128.6
1015	ctx-lh-middletemporal	13757.2
1016	ctx-lh-parahippocampal	3099.1
1017	ctx-lh-paracentral	3574.0
1018	ctx-lh-parsopercularis	6190.8
1019	ctx-lh-parsorbitalis	2875.1
1020	ctx-lh-parstriangularis	4700.1
1021	ctx-lh-pericalcarine	3324.4
1022	ctx-lh-postcentral	9389.8
1023	ctx-lh-posteriorcingulate	3560.6
1024	ctx-lh-precentral	13152.2
1025	ctx-lh-precuneus	10539.9
1026	ctx-lh-rostralanteriorcingulate	2843.9
1027	ctx-lh-rostralmiddlefrontal	16102.0
1028	ctx-lh-superiorfrontal	26423.4
1029	ctx-lh-superiorparietal	13688.9
1030	ctx-lh-superiortemporal	12539.9
1031	ctx-lh-supramarginal	13256.0
1032	ctx-lh-frontalpole	1214.2
1033	ctx-lh-temporalpole	2170.1
1034	ctx-lh-transversetemporal	1261.1
1035	ctx-lh-insula	8721.0
2001	ctx-rh-bankssts	1931.5
2002	ctx-rh-caudalanteriorcingulate	2910.0
2003	ctx-rh-caudalmiddlefrontal	6115.9
2005	ctx-rh-cuneus	3978.8
2006	ctx-rh-entorhinal	2082.5
2007	ctx-rh-fusiform	11244.8
2008	ctx-rh-inferiorparietal	14694.5
2009	ctx-rh-inferiortemporal	14484.8
2010	ctx-rh-isthmuscingulate	3394.8
2011	ctx-rh-lateraloccipital	14819.8
2012	ctx-rh-lateralorbitofrontal	9370.0
2013	ctx-rh-lingual	8698.2
2014	ctx-rh-medialorbitofrontal	6598.6
2015	ctx-rh-middletemporal	15672.1
2016	ctx-rh-parahippocampal	2286.5
2017	ctx-rh-paracentral	3904.0
2018	ctx-rh-parsopercularis	4897.0
2019	ctx-rh-parsorbitalis	4021.2
2020	ctx-rh-parstriangularis	5409.6
2021	ctx-rh-pericalcarine	3370.1
2022	ctx-rh-postcentral	10179.5
2023	ctx-rh-posteriorcingulate	3583.8
2024	ctx-rh-precentral	14343.4
2025	ctx-rh-precuneus	11215.0
2026	ctx-rh-rostralanteriorcingulate	2550.0
2027	ctx-rh-rostralmiddlefrontal	19863.9
2028	ctx-rh-superiorfrontal	21145.1
2029	ctx-rh-superiorparietal	13482.0
2030	ctx-rh-superiortemporal	13870.5
2031	ctx-rh-supramarginal	11794.2
2032	ctx-rh-frontalpole	1246.0
2033	ctx-rh-temporalpole	1823.9
2034	ctx-rh-transversetemporal	853.2
2035	ctx-rh-insula	8548.9
