index	name	hemisphere
1	Middle frontal gyrus anterior LH	n/a
2	Middle frontal gyrus anterior RH	n/a
3	Cerebrospinal fluid (between superior parietal lobule and skull)	n/a
4	Inferior frontal sulcus posterior RH	n/a
5	Superior longitudinal fasciculus II middle	n/a
6	Cuneus anterior	n/a
7	Lateral ventricles anterior horns	n/a
8	Lateral occipital cortex LH	n/a
9	Retrocalcarine cortex	n/a
10	Collateral sulcus anterior	n/a
11	Cerebrospinal fluid (between intraparietal sulcus and skull)	n/a
12	Superior frontal gyrus anterior	n/a
13	Cingulate cortex mid-anterior	n/a
14	Cingulate cortex mid-posterior	n/a
15	Posterior cingulate cortex posterior	n/a
16	Pars opercularis pars triangularis LH	n/a
17	Medial frontal cortex posterior	n/a
18	Cerebrospinal fluid (between precuneus and skull)	n/a
19	Dorsal visual stream superior	n/a
20	Frontal operculum LH	n/a
21	Amygdala	n/a
22	Supramarginal gyrus LH	n/a
23	Postcentral gyrus LH	n/a
24	Parieto-occipital sulcus middle	n/a
25	Occipital pole inferior	n/a
26	Superior temporal gyrus LH	n/a
27	Intraparietal sulcus anterior	n/a
28	Inferior occipital gyrus	n/a
29	Angular gyrus superior RH	n/a
30	Postcentral sulcus superior LH	n/a
31	Superior occipital sulcus RH	n/a
32	Anterior cingulate cortex middle	n/a
33	Cerebellum IX	n/a
34	Corpus callosum forceps minor LH	n/a
35	Occipitotemporal sulcus posterior RH	n/a
36	Cerebellum VIIb	n/a
37	Caudate inferior	n/a
38	Supramarginal gyrus RH	n/a
39	Paracingulate gyrus anterior	n/a
40	Paracingulate gyrus posterior	n/a
41	Thalamus middle	n/a
42	Postcentral sulcus inferior	n/a
43	Ventromedial prefrontal cortex	n/a
44	Precentral sulcus medial	n/a
45	Superior frontal sulcus LH	n/a
46	Postcentral sulcus superior RH	n/a
47	Supramarginal gyrus anterior RH	n/a
48	Frontal operculum RH	n/a
49	Lingual gyrus mid-anterior	n/a
50	Cerebellum VIIIb posterior	n/a
51	Central sulcus superior RH	n/a
52	Cerebrospinal fluid (between parietal lobe and skull)	n/a
53	Caudate anterior	n/a
54	Superior frontal sulcus anterior RH	n/a
55	Corona radiata anterior	n/a
56	Suborbital cortex	n/a
57	Inferior frontal gyrus LH	n/a
58	Caudate superior	n/a
59	Fusiform gyrus posterior LH	n/a
60	Genu of callosal body	n/a
61	Frontal pole superior	n/a
62	Lingual gyrus middle	n/a
63	Intraparietal sulcus superior RH	n/a
64	Angular gyrus inferior LH	n/a
65	Precuneus anterior	n/a
66	Anterior commissure	n/a
67	Middle frontal gyrus middle RH	n/a
68	Superior frontal gyrus posterior LH	n/a
69	Cerebellum VIIIb anterior	n/a
70	Parietal operculum	n/a
71	Isthmus of corpus callosum	n/a
72	Putamen inferior	n/a
73	Supramarginal gyrus	n/a
74	Insula	n/a
75	Inferior frontal sulcus posterior LH	n/a
76	Superior frontal gyrus posterior	n/a
77	Cuneus posterior	n/a
78	Lingual gyrus mid-posterior	n/a
79	Frontal pole lateral RH	n/a
80	Inferior temporal gyrus posterior LH	n/a
81	Cerebellum Crus I RH	n/a
82	Cerebrospinal fluid (between superior frontal gyrus anterior and skull)	n/a
83	Central sulcus inferior	n/a
84	Superior occipital sulcus inferior	n/a
85	Ventral visual stream	n/a
86	Heschl’s gyrus	n/a
87	Central and postcentral sulci mid-superior	n/a
88	Cuneus inferior	n/a
89	Transverse occipital sulcus	n/a
90	Posterior cingulate cortex middle	n/a
91	Cerebellum Crus I superior	n/a
92	Frontomarginal gyrus	n/a
