onset	duration	ISI	trial_type	trial_name	stim_file	sample
3	0.5	0	133	HOUSES	stim_133_HOUSES_17.png	1536
4.7012	0.5	0	132	LETTERS	stim_132_LETTERS_19.png	2407
6.0684	0.5	0	133	HOUSES	stim_133_HOUSES_13.png	3107
7.3848	0.5	0	131	FACES	stim_131_FACES_23.png	3781
9.0508	0.5	0	132	LETTERS	stim_132_LETTERS_13.png	4634
10.584	0.5	0	133	HOUSES	stim_133_HOUSES_14.png	5419
12.2852	0.5	0	133	HOUSES	stim_133_HOUSES_20.png	6290
13.8008	0.5	0	132	LETTERS	stim_132_LETTERS_22.png	7066
15.0527	0.5	0	131	FACES	stim_131_FACES_14.png	7707
16.8027	0.5	0	132	LETTERS	stim_132_LETTERS_17.png	8603
18.3027	0.5	0	131	FACES	stim_131_FACES_24.png	9371
20.0195	0.5	0	132	LETTERS	stim_132_LETTERS_23.png	10250
21.4531	0.5	0	132	LETTERS	stim_132_LETTERS_18.png	10984
23.0859	0.5	0	132	LETTERS	stim_132_LETTERS_20.png	11820
24.3691	0.5	0	132	LETTERS	stim_132_LETTERS_15.png	12477
25.7695	0.5	0	131	FACES	stim_131_FACES_18.png	13194
27.0703	0.5	0	133	HOUSES	stim_133_HOUSES_23.png	13860
28.8047	0.5	0	133	HOUSES	stim_133_HOUSES_22.png	14748
30.4199	0.5	0	131	FACES	stim_131_FACES_19.png	15575
31.8711	0.5	0	133	HOUSES	stim_133_HOUSES_15.png	16318
33.5215	0.5	0	131	FACES	stim_131_FACES_21.png	17163
34.7871	0.5	0	133	HOUSES	stim_133_HOUSES_21.png	17811
36.3555	0.5	0	132	LETTERS	stim_132_LETTERS_16.png	18614
37.9219	0.5	0	131	FACES	stim_131_FACES_22.png	19416
39.5215	0.5	0	133	HOUSES	stim_133_HOUSES_18.png	20235
41.0547	0.5	0	131	FACES	stim_131_FACES_20.png	21020
42.6387	0.5	0	131	FACES	stim_131_FACES_13.png	21831
44.0059	0.5	0	133	HOUSES	stim_133_HOUSES_19.png	22531
45.6895	0.5	0	131	FACES	stim_131_FACES_15.png	23393
46.9902	0.5	0	132	LETTERS	stim_132_LETTERS_14.png	24059
48.373	0.5	0	133	HOUSES	stim_133_HOUSES_16.png	24767
49.8574	0.5	0	132	LETTERS	stim_132_LETTERS_24.png	25527
51.1895	0.5	0	132	LETTERS	stim_132_LETTERS_21.png	26209
52.6738	0.5	0	133	HOUSES	stim_133_HOUSES_24.png	26969
54.0898	0.5	0	131	FACES	stim_131_FACES_16.png	27694
55.5078	0.5	0	131	FACES	stim_131_FACES_17.png	28420
