onset	duration	ISI	trial_type	trial_name	stim_file	sample
3	0.5	0	109	CRF-3	stim_109_CRF-3_01.png	1536
4.4336	0.5	0	107	CRF-1	stim_107_CRF-1_02.png	2270
6.0684	0.5	0	112	GRATING	stim_112_GRATING_02.png	3107
7.3516	0.5	0	116	SPARSITY-2	stim_116_SPARSITY-2_02.png	3764
9.1016	0.5	0	115	SPARSITY-1	stim_115_SPARSITY-1_02.png	4660
10.5684	0.5	0	110	CRF-4	stim_110_CRF-4_03.png	5411
12.3008	0.5	0	115	SPARSITY-1	stim_115_SPARSITY-1_01.png	6298
13.6191	0.5	0	112	GRATING	stim_112_GRATING_03.png	6973
15.1855	0.5	0	113	PLAID	stim_113_PLAID_02.png	7775
16.5684	0.5	0	111	CRF-5	stim_111_CRF-5_03.png	8483
17.8691	0.5	0	107	CRF-1	stim_107_CRF-1_01.png	9149
19.2031	0.5	0	113	PLAID	stim_113_PLAID_01.png	9832
20.9023	0.5	0	114	CIRCULAR	stim_114_CIRCULAR_03.png	10702
22.2539	0.5	0	114	CIRCULAR	stim_114_CIRCULAR_02.png	11394
23.8203	0.5	0	117	SPARSITY-3	stim_117_SPARSITY-3_01.png	12196
25.3359	0.5	0	108	CRF-2	stim_108_CRF-2_02.png	12972
26.8535	0.5	0	107	CRF-1	stim_107_CRF-1_03.png	13749
28.2695	0.5	0	116	SPARSITY-2	stim_116_SPARSITY-2_03.png	14474
29.8867	0.5	0	108	CRF-2	stim_108_CRF-2_03.png	15302
31.1875	0.5	0	109	CRF-3	stim_109_CRF-3_02.png	15968
32.8535	0.5	0	118	SPARSITY-4	stim_118_SPARSITY-4_02.png	16821
34.1211	0.5	0	116	SPARSITY-2	stim_116_SPARSITY-2_01.png	17470
35.7891	0.5	0	118	SPARSITY-4	stim_118_SPARSITY-4_01.png	18324
37.3223	0.5	0	112	GRATING	stim_112_GRATING_01.png	19109
38.9395	0.5	0	115	SPARSITY-1	stim_115_SPARSITY-1_03.png	19937
40.3223	0.5	0	117	SPARSITY-3	stim_117_SPARSITY-3_03.png	20645
42.0215	0.5	0	108	CRF-2	stim_108_CRF-2_01.png	21515
43.4219	0.5	0	110	CRF-4	stim_110_CRF-4_02.png	22232
45.0059	0.5	0	113	PLAID	stim_113_PLAID_03.png	23043
46.4395	0.5	0	114	CIRCULAR	stim_114_CIRCULAR_01.png	23777
48.1738	0.5	0	117	SPARSITY-3	stim_117_SPARSITY-3_02.png	24665
49.6738	0.5	0	110	CRF-4	stim_110_CRF-4_01.png	25433
50.9238	0.5	0	111	CRF-5	stim_111_CRF-5_02.png	26073
52.4062	0.5	0	111	CRF-5	stim_111_CRF-5_01.png	26832
54.041	0.5	0	109	CRF-3	stim_109_CRF-3_03.png	27669
55.5078	0.5	0	118	SPARSITY-4	stim_118_SPARSITY-4_03.png	28420
