onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index	sample
3.0000	0.5000	0.0000	109	CRF-3	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	7	1536
4.4336	0.5000	0.0000	107	CRF-1	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	2	2270
6.0684	0.5000	0.0000	112	GRATING	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	17	3107
7.3516	0.5000	0.0000	116	SPARSITY-2	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	29	3764
9.1016	0.5000	0.0000	115	SPARSITY-1	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	26	4660
10.5684	0.5000	0.0000	110	CRF-4	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	12	5411
12.3008	0.5000	0.0000	115	SPARSITY-1	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	25	6298
13.6191	0.5000	0.0000	112	GRATING	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	18	6973
15.1855	0.5000	0.0000	113	PLAID	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	20	7775
16.5684	0.5000	0.0000	111	CRF-5	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	15	8483
17.8691	0.5000	0.0000	107	CRF-1	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	1	9149
19.2031	0.5000	0.0000	113	PLAID	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	19	9832
20.9023	0.5000	0.0000	114	CIRCULAR	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	24	10702
22.2520	0.5000	0.0000	114	CIRCULAR	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	23	11393
23.8203	0.5000	0.0000	117	SPARSITY-3	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	31	12196
25.3359	0.5000	0.0000	108	CRF-2	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	5	12972
26.8535	0.5000	0.0000	107	CRF-1	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	3	13749
28.2695	0.5000	0.0000	116	SPARSITY-2	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	30	14474
29.8867	0.5000	0.0000	108	CRF-2	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	6	15302
31.1875	0.5000	0.0000	109	CRF-3	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	8	15968
32.8535	0.5000	0.0000	118	SPARSITY-4	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	35	16821
34.1211	0.5000	0.0000	116	SPARSITY-2	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	28	17470
35.7871	0.5000	0.0000	118	SPARSITY-4	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	34	18323
37.3223	0.5000	0.0000	112	GRATING	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	16	19109
38.9375	0.5000	0.0000	115	SPARSITY-1	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	27	19936
40.3223	0.5000	0.0000	117	SPARSITY-3	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	33	20645
42.0215	0.5000	0.0000	108	CRF-2	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	4	21515
43.4219	0.5000	0.0000	110	CRF-4	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	11	22232
45.0059	0.5000	0.0000	113	PLAID	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	21	23043
46.4395	0.5000	0.0000	114	CIRCULAR	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	22	23777
48.1738	0.5000	0.0000	117	SPARSITY-3	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	32	24665
49.6738	0.5000	0.0000	110	CRF-4	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	10	25433
50.9238	0.5000	0.0000	111	CRF-5	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	14	26073
52.4062	0.5000	0.0000	111	CRF-5	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	13	26832
54.0410	0.5000	0.0000	109	CRF-3	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	9	27669
55.5078	0.5000	0.0000	118	SPARSITY-4	sub-som682_ses-somecog01_task-spatialpattern_run-01.mat	36	28420
