name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	group	description	status	status_description
G01	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	bad	spikes
G02	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G03	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G04	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G05	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G06	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G07	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G08	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G09	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G10	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G11	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G12	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G13	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G14	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G15	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G16	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G17	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G18	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G19	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G20	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G21	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G22	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G23	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G24	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G25	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G26	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G27	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G28	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G29	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G30	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G31	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G32	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G33	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G34	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G35	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	bad	lowfreqtransient
G36	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G37	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G38	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G39	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G40	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G41	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G42	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G43	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G44	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G45	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G46	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G47	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G48	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G49	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	bad	outlier
G50	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G51	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G52	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G53	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G54	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G55	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G56	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G57	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	bad	outlier
G58	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	bad	outlier
G59	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G60	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G61	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G62	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G63	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G64	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
T01	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	bad	spikes
T02	ecog	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
T03	ecog	uV	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
T04	ecog	uV	500	0.15	512	n/a	n/a	n/a	n/a	bad	spikes
T05	ecog	uV	500	0.15	512	n/a	n/a	n/a	n/a	bad	spikes
T06	ecog	uV	500	0.15	512	n/a	n/a	n/a	n/a	bad	lowfreqtransient
P01	ecog	uV	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
P02	ecog	uV	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
P03	ecog	uV	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
P04	ecog	uV	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
F01	ecog	uV	500	0.15	512	n/a	n/a	n/a	n/a	bad	spikes
F02	ecog	uV	500	0.15	512	n/a	n/a	n/a	n/a	bad	spikes
F03	ecog	uV	500	0.15	512	n/a	n/a	n/a	n/a	bad	spikes
F04	ecog	uV	500	0.15	512	n/a	n/a	n/a	n/a	bad	spikes
DAS01	seeg	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DAS02	seeg	n/a	500	0.15	512	n/a	n/a	n/a	n/a	bad	clipped
DAS03	seeg	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DAS04	seeg	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DAI01	seeg	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DAI02	seeg	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DAI03	seeg	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DAI04	seeg	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DPS01	seeg	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DPS02	seeg	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DPS03	seeg	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DPS04	seeg	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DPI01	seeg	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DPI02	seeg	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DPI03	seeg	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DPI04	seeg	n/a	500	0.15	512	n/a	n/a	n/a	n/a	bad	clipped
EKG1	ecg	n/a	500	0.15	512	n/a	n/a	n/a	n/a	n/a	n/a
EKG2	ecg	n/a	500	0.15	512	n/a	n/a	n/a	n/a	n/a	n/a
DC1	trig	n/a	500	0.15	512	n/a	n/a	n/a	n/a	n/a	n/a
DC2	other	n/a	500	0.15	512	n/a	n/a	n/a	n/a	n/a	n/a
DC3	other	n/a	500	0.15	512	n/a	n/a	n/a	n/a	n/a	n/a
DC7	other	n/a	500	0.15	512	n/a	n/a	n/a	n/a	n/a	n/a
DC8	other	n/a	500	0.15	512	n/a	n/a	n/a	n/a	n/a	n/a
DC9	other	n/a	500	0.15	512	n/a	n/a	n/a	n/a	n/a	n/a
DC10	other	n/a	500	0.15	512	n/a	n/a	n/a	n/a	n/a	n/a
DC11	other	n/a	500	0.15	512	n/a	n/a	n/a	n/a	n/a	n/a
