onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index	sample
3.0000	0.5000	0.0000	133	HOUSES	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	29	1536
4.7012	0.5000	0.0000	132	LETTERS	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	19	2407
6.0684	0.5000	0.0000	133	HOUSES	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	25	3107
7.3848	0.5000	0.0000	131	FACES	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	11	3781
9.0508	0.5000	0.0000	132	LETTERS	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	13	4634
10.5840	0.5000	0.0000	133	HOUSES	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	26	5419
12.2852	0.5000	0.0000	133	HOUSES	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	32	6290
13.8027	0.5000	0.0000	132	LETTERS	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	22	7067
15.0527	0.5000	0.0000	131	FACES	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	2	7707
16.8027	0.5000	0.0000	132	LETTERS	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	17	8603
18.3027	0.5000	0.0000	131	FACES	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	12	9371
20.0195	0.5000	0.0000	132	LETTERS	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	23	10250
21.4531	0.5000	0.0000	132	LETTERS	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	18	10984
23.0859	0.5000	0.0000	132	LETTERS	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	20	11820
24.3691	0.5000	0.0000	132	LETTERS	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	15	12477
25.7695	0.5000	0.0000	131	FACES	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	6	13194
27.0703	0.5000	0.0000	133	HOUSES	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	35	13860
28.8047	0.5000	0.0000	133	HOUSES	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	34	14748
30.4199	0.5000	0.0000	131	FACES	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	7	15575
31.8711	0.5000	0.0000	133	HOUSES	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	27	16318
33.5215	0.5000	0.0000	131	FACES	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	9	17163
34.7871	0.5000	0.0000	133	HOUSES	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	33	17811
36.3555	0.5000	0.0000	132	LETTERS	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	16	18614
37.9219	0.5000	0.0000	131	FACES	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	10	19416
39.5215	0.5000	0.0000	133	HOUSES	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	30	20235
41.0547	0.5000	0.0000	131	FACES	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	8	21020
42.6387	0.5000	0.0000	131	FACES	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	1	21831
44.0059	0.5000	0.0000	133	HOUSES	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	31	22531
45.6895	0.5000	0.0000	131	FACES	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	3	23393
46.9902	0.5000	0.0000	132	LETTERS	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	14	24059
48.3730	0.5000	0.0000	133	HOUSES	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	28	24767
49.8574	0.5000	0.0000	132	LETTERS	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	24	25527
51.1895	0.5000	0.0000	132	LETTERS	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	21	26209
52.6738	0.5000	0.0000	133	HOUSES	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	36	26969
54.0898	0.5000	0.0000	131	FACES	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	4	27694
55.5078	0.5000	0.0000	131	FACES	sub-som682_ses-somecog01_task-spatialobject_run-02.mat	5	28420
