name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
E1	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E2	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E3	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E4	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E5	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E6	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E7	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E8	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E9	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E10	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E11	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E12	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E13	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E14	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E15	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E16	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E17	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E18	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E19	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E20	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E21	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E22	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E23	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E24	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E25	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E26	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E27	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E28	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E29	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E30	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E31	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E32	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E33	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E34	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E35	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E36	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E37	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E38	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E39	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E40	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E41	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E42	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E43	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E44	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E45	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E46	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E47	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E48	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E49	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E50	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E51	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E52	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E53	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E54	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E55	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E56	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E57	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E58	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E59	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E60	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E61	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E62	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E63	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E64	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E65	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E66	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E67	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E68	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E69	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E70	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E71	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E72	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E73	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E74	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E75	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E76	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E77	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E78	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E79	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E80	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E81	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E82	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E83	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E84	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E85	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
E86	EEG	µV	0.0	5.0	ElectroEncephaloGram	10.0	good	n/a
