onset	duration	trial_type	description
0.0	180.0	task	vocalization task (run 01)
5.0	3.0	vowel	"ah" vowel
12.5	2.5	vowel	"ee" vowel
20.0	2.0	vowel	"oo" vowel
30.0	5.0	humming	humming at comfortable pitch
40.5	1.5	breath	breath/pause
45.0	4.0	consonant	"sh" consonant
55.0	4.0	consonant	"s" consonant
65.0	3.0	consonant	"f" consonant
75.0	10.0	free	free vocalization
100.0	5.0	humming	humming at lower pitch
120.0	2.0	breath	breath/pause
130.0	8.0	free	free vocalization
160.0	10.0	free	final free vocalization
