onset	duration	sample	event_type	face_type	repetition_type	trigger	stim_file
0.0040000000	n/a	1	setup	n/a	n/a	n/a	n/a
0.0040000000	n/a	1	right_sym	n/a	n/a	n/a	n/a
24.2098181818	n/a	6052.4545	show_face	unfamiliar_face	first_show	13	u032.bmp
25.0352727273	n/a	6258.8182	show_circle	n/a	n/a	0	circle.bmp
25.1580000000	n/a	6289.5	left_press	n/a	n/a	256	n/a
26.7352727273	n/a	6683.8182	show_cross	n/a	n/a	n/a	cross.bmp
27.2498181818	n/a	6812.4545	show_face	unfamiliar_face	immediate_repeat	14	u032.bmp
27.8970909091	n/a	6974.2727	left_press	n/a	n/a	256	n/a
28.0998181818	n/a	7024.9545	show_circle	n/a	n/a	0	circle.bmp
29.7998181818	n/a	7449.9545	show_cross	n/a	n/a	n/a	cross.bmp
30.3570909091	n/a	7589.2727	show_face	unfamiliar_face	first_show	13	u088.bmp
31.1880000000	n/a	7797	show_circle	n/a	n/a	0	circle.bmp
32.8880000000	n/a	8222	show_cross	n/a	n/a	n/a	cross.bmp
33.3643636364	n/a	8341.0909	show_face	unfamiliar_face	first_show	13	u084.bmp
34.3680000000	n/a	8592	show_circle	n/a	n/a	0	circle.bmp
36.0680000000	n/a	9017	show_cross	n/a	n/a	n/a	cross.bmp
36.5561818182	n/a	9139.0455	show_face	famous_face	first_show	5	f123.bmp
37.3161818182	n/a	9329.0455	right_press	n/a	n/a	4096	n/a
37.3825454545	n/a	9345.6364	show_circle	n/a	n/a	0	circle.bmp
39.0825454545	n/a	9770.6364	show_cross	n/a	n/a	n/a	cross.bmp
39.5789090909	n/a	9894.7273	show_face	unfamiliar_face	first_show	13	u022.bmp
40.5816363636	n/a	10145.4091	show_circle	n/a	n/a	0	circle.bmp
42.2816363636	n/a	10570.4091	show_cross	n/a	n/a	n/a	cross.bmp
42.8025454545	n/a	10700.6364	show_face	famous_face	first_show	5	f094.bmp
43.5489090909	n/a	10887.2273	right_press	n/a	n/a	4096	n/a
