onset	duration	sample	event_type	face_type	repetition_type	trigger	stim_file
0.0040000000	n/a	1	setup	n/a	n/a	n/a	n/a
0.0040000000	n/a	1	right_sym	n/a	n/a	n/a	n/a
25.6961818182	n/a	6424.0455	show_face	scrambled_face	first_show	17	s096.bmp
26.5616363636	n/a	6640.4091	show_circle	n/a	n/a	0	circle.bmp
28.2616363636	n/a	7065.4091	show_cross	n/a	n/a	n/a	cross.bmp
28.8870909091	n/a	7221.7727	show_face	famous_face	first_show	5	f148.bmp
29.7716363636	n/a	7442.9091	right_press	n/a	n/a	4096	n/a
29.9052727273	n/a	7476.3182	show_circle	n/a	n/a	0	circle.bmp
31.6052727273	n/a	7901.3182	show_cross	n/a	n/a	n/a	cross.bmp
32.1943636364	n/a	8048.5909	show_face	famous_face	immediate_repeat	6	f148.bmp
32.7898181818	n/a	8197.4545	right_press	n/a	n/a	4096	n/a
33.0316363636	n/a	8257.9091	show_circle	n/a	n/a	0	circle.bmp
34.7316363636	n/a	8682.9091	show_cross	n/a	n/a	n/a	cross.bmp
35.1843636364	n/a	8796.0909	show_face	scrambled_face	first_show	17	s071.bmp
36.0289090909	n/a	9007.2273	show_circle	n/a	n/a	0	circle.bmp
36.1089090909	n/a	9027.2273	right_press	n/a	n/a	4096	n/a
37.7289090909	n/a	9432.2273	show_cross	n/a	n/a	n/a	cross.bmp
38.3589090909	n/a	9589.7273	show_face	scrambled_face	immediate_repeat	18	s071.bmp
38.8270909091	n/a	9706.7727	right_press	n/a	n/a	4096	n/a
39.3707272727	n/a	9842.6818	show_circle	n/a	n/a	0	circle.bmp
41.0707272727	n/a	10267.6818	show_cross	n/a	n/a	n/a	cross.bmp
41.6498181818	n/a	10412.4545	show_face	unfamiliar_face	first_show	13	u005.bmp
42.5307272727	n/a	10632.6818	show_circle	n/a	n/a	0	circle.bmp
44.2307272727	n/a	11057.6818	show_cross	n/a	n/a	n/a	cross.bmp
44.7234545455	n/a	11180.8636	show_face	famous_face	first_show	5	f119.bmp
