onset	duration	sample	event_type	face_type	repetition_type	trial	trial_lag	trigger	stim_file
0.004	n/a	1.0	setup	n/a	n/a	n/a	n/a	n/a	n/a
0.004	n/a	1.0	right_sym	n/a	n/a	n/a	n/a	n/a	n/a
24.3352727273	n/a	6083.8182	show_face	unfamiliar_face	first_show	1	n/a	13	u124.bmp
25.1889090909	n/a	6297.2273	show_circle	n/a	n/a	1	n/a	0	circle.bmp
26.8889090909	n/a	6722.2273	show_cross	n/a	n/a	2	n/a	n/a	cross.bmp
27.3752727273	n/a	6843.8182	show_face	famous_face	first_show	2	n/a	5	f125.bmp
28.057090909099998	n/a	7014.2727	right_press	n/a	n/a	2	n/a	4096	n/a
28.356181818200003	n/a	7089.0455	show_circle	n/a	n/a	2	n/a	0	circle.bmp
30.056181818200002	n/a	7514.0455	show_cross	n/a	n/a	3	n/a	n/a	cross.bmp
30.5489090909	n/a	7637.2273	show_face	famous_face	immediate_repeat	3	1	6	f125.bmp
31.1016363636	n/a	7775.4091	right_press	n/a	n/a	3	n/a	4096	n/a
31.429818181799998	n/a	7857.4545	show_circle	n/a	n/a	3	n/a	0	circle.bmp
33.1298181818	n/a	8282.4545	show_cross	n/a	n/a	4	n/a	n/a	cross.bmp
33.723454545500005	n/a	8430.8636	show_face	famous_face	first_show	4	n/a	5	f012.bmp
34.656181818200004	n/a	8664.0455	show_circle	n/a	n/a	4	n/a	0	circle.bmp
36.3561818182	n/a	9089.0455	show_cross	n/a	n/a	5	n/a	n/a	cross.bmp
36.8134545455	n/a	9203.3636	show_face	famous_face	immediate_repeat	5	1	6	f012.bmp
37.3752727273	n/a	9343.8182	right_press	n/a	n/a	5	n/a	4096	n/a
37.6589090909	n/a	9414.7273	show_circle	n/a	n/a	5	n/a	0	circle.bmp
39.3589090909	n/a	9839.7273	show_cross	n/a	n/a	6	n/a	n/a	cross.bmp
40.0216363636	n/a	10005.4091	show_face	unfamiliar_face	first_show	6	n/a	13	u044.bmp
40.924363636399995	n/a	10231.0909	show_circle	n/a	n/a	6	n/a	0	circle.bmp
42.6243636364	n/a	10656.0909	show_cross	n/a	n/a	7	n/a	n/a	cross.bmp
43.2452727273	n/a	10811.3182	show_face	unfamiliar_face	immediate_repeat	7	1	14	u044.bmp
44.2152727273	n/a	11053.8182	show_circle	n/a	n/a	7	n/a	0	circle.bmp
45.91527272729999	n/a	11478.8182	show_cross	n/a	n/a	8	n/a	n/a	cross.bmp
46.368909090900004	n/a	11592.2273	show_face	scrambled_face	first_show	8	n/a	17	s006.bmp
47.013454545500004	n/a	11753.3636	right_press	n/a	n/a	8	n/a	4096	n/a
47.3725454545	n/a	11843.1364	show_circle	n/a	n/a	8	n/a	0	circle.bmp
49.072545454499995	n/a	12268.1364	show_cross	n/a	n/a	9	n/a	n/a	cross.bmp
49.6270909091	n/a	12406.7727	show_face	scrambled_face	first_show	9	n/a	17	s029.bmp
50.583454545500004	n/a	12645.8636	show_circle	n/a	n/a	9	n/a	0	circle.bmp
52.2834545455	n/a	13070.8636	show_cross	n/a	n/a	10	n/a	n/a	cross.bmp
52.817090909099996	n/a	13204.2727	show_face	unfamiliar_face	delayed_repeat	10	9	15	u124.bmp
53.7134545455	n/a	13428.3636	show_circle	n/a	n/a	10	n/a	0	circle.bmp
55.4134545455	n/a	13853.3636	show_cross	n/a	n/a	11	n/a	n/a	cross.bmp
55.908	n/a	13977.0	show_face	unfamiliar_face	first_show	11	n/a	13	u106.bmp
56.731636363599996	n/a	14182.9091	show_circle	n/a	n/a	11	n/a	0	circle.bmp
58.4316363636	n/a	14607.9091	show_cross	n/a	n/a	12	n/a	n/a	cross.bmp
