filename	"Cue_Onset	Stim_Onset	Object_Cond	Validity_Cond	Obj_Accuracy	Obj_Acc_RT	Subseq_Recog	Subseq_Recog_RT	Subseq_Source_Mem_Acc	Subseq_Source_Mem_Acc_RT"
func/sub-15task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"4.0007	10.0007	OBJ	V	1	0.57875	UT	UT	UT	UT"
func/sub-15task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"12.0016	16.0016	OBJ	V	1	0.52289	LC-MISS	"
func/sub-15task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"18.0011	24.0011	GRE	V	1	0.63538	UT	UT	UT	UT"
func/sub-15task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"28.0011	34.0011	OBJ	V	1	0.63269	UT	UT	UT	UT"
func/sub-15task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"36.0013	38.0013	GRE	V	1	0.54922	UT	UT	UT	UT"
func/sub-15task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"40.0011	44.0011	OBJ	NV	1	0.71842	HC-HIT	"
func/sub-15task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"48.0011	52.0011	GRE	V	1	0.62225	UT	UT	UT	UT"
func/sub-15task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"54.0009	60.0009	OBJ	V	1	0.63633	HC-HIT	"
func/sub-15task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"62.0016	68.0016	GRE	V	1	0.58919	UT	UT	UT	UT"
func/sub-15task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"70.0008	72.0008	GRE	V	1	0.60105	UT	UT	UT	UT"
