onset	duration	trial_type	congruent_incorrect	incongruent_incorrect	Rsponse	StimVar	Stimulus	ResponseTime
0.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	496
10.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	523
20.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	423
32.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	482
44.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	589
54.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	528
64.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	572
76.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	518
88.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	577
102.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	379
116.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	693
130.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	583
140.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	532
154.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	437
164.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	658
174.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	490
184.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	440
196.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	427
208.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	574
220.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	512
232.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	563
246.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	509
260.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	391
274.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	529
