name	type	units	sampling_frequency	tracked_point	component	orientation_component
head_ACCEL_x	ACCEL	m/s^2	199.893333333333	head	x	x
head_ACCEL_y	ACCEL	m/s^2	199.893333333333	head	y	y
head_ACCEL_z	ACCEL	m/s^2	199.893333333333	head	z	z
sternum_ACCEL_x	ACCEL	m/s^2	199.893333333333	sternum	x	x
sternum_ACCEL_y	ACCEL	m/s^2	199.893333333333	sternum	y	y
sternum_ACCEL_z	ACCEL	m/s^2	199.893333333333	sternum	z	z
leftUpperArm_ACCEL_x	ACCEL	m/s^2	199.893333333333	leftUpperArm	x	x
leftUpperArm_ACCEL_y	ACCEL	m/s^2	199.893333333333	leftUpperArm	y	y
leftUpperArm_ACCEL_z	ACCEL	m/s^2	199.893333333333	leftUpperArm	z	z
leftForeArm_ACCEL_x	ACCEL	m/s^2	199.893333333333	leftForeArm	x	x
leftForeArm_ACCEL_y	ACCEL	m/s^2	199.893333333333	leftForeArm	y	y
leftForeArm_ACCEL_z	ACCEL	m/s^2	199.893333333333	leftForeArm	z	z
rightUpperArm_ACCEL_x	ACCEL	m/s^2	199.893333333333	rightUpperArm	x	x
rightUpperArm_ACCEL_y	ACCEL	m/s^2	199.893333333333	rightUpperArm	y	y
rightUpperArm_ACCEL_z	ACCEL	m/s^2	199.893333333333	rightUpperArm	z	z
rightForeArm_ACCEL_x	ACCEL	m/s^2	199.893333333333	rightForeArm	x	x
rightForeArm_ACCEL_y	ACCEL	m/s^2	199.893333333333	rightForeArm	y	y
rightForeArm_ACCEL_z	ACCEL	m/s^2	199.893333333333	rightForeArm	z	z
pelvis_ACCEL_x	ACCEL	m/s^2	199.893333333333	pelvis	x	x
pelvis_ACCEL_y	ACCEL	m/s^2	199.893333333333	pelvis	y	y
pelvis_ACCEL_z	ACCEL	m/s^2	199.893333333333	pelvis	z	z
leftThigh_ACCEL_x	ACCEL	m/s^2	199.893333333333	leftThigh	x	x
leftThigh_ACCEL_y	ACCEL	m/s^2	199.893333333333	leftThigh	y	y
leftThigh_ACCEL_z	ACCEL	m/s^2	199.893333333333	leftThigh	z	z
leftShank_ACCEL_x	ACCEL	m/s^2	199.893333333333	leftShank	x	x
leftShank_ACCEL_y	ACCEL	m/s^2	199.893333333333	leftShank	y	y
