onset	duration	trial_type	congruent_incorrect	incongruent_incorrect	Rsponse	StimVar	Stimulus	ResponseTime
0.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	854
10.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	584
20.000	2.000	incongruent_correct	n/a	n/a	1	1	 congruent	828
30.000	2.000	congruent_correct	n/a	n/a	1	2	 incongruent	743
40.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	691
52.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	829
64.000	2.000	incongruent_correct	n/a	n/a	1	1	 congruent	786
76.000	2.000	congruent_correct	n/a	n/a	1	2	 incongruent	635
88.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	646
102.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	639
116.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	802
130.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	756
144.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	693
154.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	707
164.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	870
174.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	905
184.000	2.000	incongruent_correct	n/a	n/a	1	1	 congruent	684
196.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	775
208.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	706
222.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	684
234.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	950
248.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	608
260.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	699
274.000	2.000	congruent_correct	n/a	n/a	1	2	 incongruent	653
