onset	duration	trial_type	Object_Cond	Validity_Cond	Obj_Accuracy	Obj_Acc_RT	Subseq_Recog	Subseq_Recog_RT	Subseq_Source_Mem_Acc	Subseq_Source_Mem_Acc_RT
4.001	1.000	Valid Other Obj Cue: valid cue where following stimulus was an untested or no response object	OBJ	V	1	0.36805	UT	UT	UT	UT
10.001	0.500	Valid Other Obj: stimulus that was an untested or no response object and that followed a valid cue	OBJ	V	1	0.36805	UT	UT	UT	UT
12.049	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.43462	HC-MISS	 1.5148	UT	UT
14.049	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.43462	HC-MISS	 1.5148	UT	UT
18.088	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.42323	LC-MISS	 2.3299	UT	UT
24.088	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.42323	LC-MISS	 2.3299	UT	UT
26.132	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	0	0.53104	UT	UT	UT	UT
30.132	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	0	0.53104	UT	UT	UT	UT
32.170	1.000	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit	OBJ	V	1	0.43879	HC-HIT	 1.0523	1	0.22471
38.170	0.500	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue	OBJ	V	1	0.43879	HC-HIT	 1.0523	1	0.22471
40.212	1.000	Valid Other Obj Cue: valid cue where following stimulus was an untested or no response object	OBJ	V	0	0.42409	UT	UT	UT	UT
42.212	0.500	Valid Other Obj: stimulus that was an untested or no response object and that followed a valid cue	OBJ	V	0	0.42409	UT	UT	UT	UT
44.250	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	0	 0.3452	UT	UT	UT	UT
48.250	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	0	 0.3452	UT	UT	UT	UT
50.290	1.000	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit	OBJ	V	1	0.42854	HC-HIT	 1.0553	1	1.3386
52.290	0.500	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue	OBJ	V	1	0.42854	HC-HIT	 1.0553	1	1.3386
54.328	1.000	Invalid Miss Cue: invalid cue where following object was a subsequent miss	OBJ	NV	1	0.47583	HC-MISS	 3.3708	UT	UT
58.328	0.500	Invalid Miss Obj: object that was a subsequent miss and that followed an invalid cue	OBJ	NV	1	0.47583	HC-MISS	 3.3708	UT	UT
60.367	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.44599	LC-MISS	0.93696	UT	UT
62.367	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.44599	LC-MISS	0.93696	UT	UT
64.404	1.000	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit	OBJ	V	1	0.39162	HC-HIT	0.98434	1	0.39724
68.404	0.500	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue	OBJ	V	1	0.39162	HC-HIT	0.98434	1	0.39724
70.444	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.42543	LC-MISS	 1.2397	UT	UT
72.444	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.42543	LC-MISS	 1.2397	UT	UT
74.481	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	0	0.33545	UT	UT	UT	UT
80.481	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	0	0.33545	UT	UT	UT	UT
82.523	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.36611	HC-MISS	0.97376	UT	UT
88.523	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.36611	HC-MISS	0.97376	UT	UT
