onset	duration	trial_type	congruent_incorrect	incongruent_incorrect	Rsponse	StimVar	Stimulus	ResponseTime
0.000	2.000	congruent_correct	n/a	n/a	1	2	 incongruent	672
10.000	2.000	incongruent_correct	n/a	n/a	1	1	 congruent	621
20.000	2.000	incongruent_correct	n/a	n/a	1	1	 congruent	550
30.000	2.000	incongruent_correct	n/a	n/a	1	1	 congruent	532
42.000	2.000	congruent_correct	n/a	n/a	1	2	 incongruent	486
52.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	537
64.000	2.000	congruent_correct	n/a	n/a	1	2	 incongruent	540
76.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	607
88.000	2.000	congruent_correct	n/a	n/a	1	2	 incongruent	602
102.000	2.000	incongruent_correct	n/a	n/a	1	1	 congruent	573
116.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	717
130.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	607
140.000	2.000	incongruent_correct	n/a	n/a	1	1	 congruent	724
154.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	581
164.000	2.000	congruent_correct	n/a	n/a	1	2	 incongruent	561
174.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	652
184.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	624
196.000	2.000	incongruent_correct	n/a	n/a	1	1	 congruent	587
208.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	541
220.000	2.000	congruent_correct	n/a	n/a	1	2	 incongruent	599
232.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	715
246.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	478
260.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	678
274.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	617
