name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	description	status	group
G1	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-superior	good	1.0
G2	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	premotor-superior	bad	1.0
G3	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	premotor-superior	good	1.0
G4	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-superior	good	1.0
G5	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-superior	good	1.0
G6	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-superior	good	1.0
G7	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-superior	good	1.0
G8	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-superior	good	1.0
G9	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-superior	good	1.0
G10	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	premotor-superior	good	1.0
G11	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	premotor-superior	good	1.0
G12	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-superior	good	1.0
G13	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-superior	good	1.0
G14	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-superior	good	1.0
G15	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-superior	good	1.0
G16	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-superior	good	1.0
G17	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-medial	good	1.0
G18	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	premotor-medial	good	1.0
G19	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	premotor-medial	good	1.0
G20	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-medial	good	1.0
G21	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-medial	good	1.0
G22	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-medial	good	1.0
