onset	duration	trial_type	congruent_incorrect	incongruent_incorrect	Rsponse	StimVar	Stimulus	ResponseTime
0.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	1019
10.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	927
20.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	747
32.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	653
42.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	744
52.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	588
64.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	560
76.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	715
88.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	670
102.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	719
116.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	674
130.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	555
144.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	693
154.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	705
164.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	612
174.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	558
184.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	531
196.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	446
208.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	483
222.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	644
234.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	830
246.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	696
260.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	538
274.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	620
