onset	duration	trial_type	congruent_incorrect	incongruent_incorrect	Rsponse	StimVar	Stimulus	ResponseTime
0.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	649
10.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	598
20.000	2.000	congruent_correct	n/a	n/a	1	2	 incongruent	536
30.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	451
40.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	409
52.000	2.000	incongruent_correct	n/a	n/a	1	1	 congruent	587
64.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	477
76.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	559
88.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	563
102.000	2.000	congruent_correct	n/a	n/a	1	2	 incongruent	492
116.000	2.000	incongruent_correct	n/a	n/a	1	1	 congruent	583
130.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	576
144.000	2.000	congruent_correct	n/a	n/a	1	2	 incongruent	539
154.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	599
164.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	610
174.000	2.000	incongruent_correct	n/a	n/a	1	1	 congruent	581
184.000	2.000	incongruent_correct	n/a	n/a	1	1	 congruent	497
196.000	2.000	incongruent_correct	n/a	n/a	1	1	 congruent	596
208.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	559
220.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	577
234.000	2.000	congruent_correct	n/a	n/a	1	2	 incongruent	451
246.000	2.000	congruent_correct	n/a	n/a	1	2	 incongruent	653
260.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	441
274.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	595
