onset	duration	trial_type	rating_par
1.002	5.000	att_neg	n/a
8.005	0.778	rating_par	0.233
13.017	5.000	att_neut	n/a
19.008	0.436	rating_par	-0.767
29.015	5.000	att_neg	n/a
37.014	0.750	rating_par	0.233
43.005	5.000	suppr_neg	n/a
49.013	0.350	rating_par	0.233
53.013	5.000	suppr_neg	n/a
60.016	0.451	rating_par	-0.767
65.011	5.000	suppr_neg	n/a
71.003	0.480	rating_par	0.233
77.010	5.000	suppr_neg	n/a
84.014	0.585	rating_par	0.233
89.009	5.000	att_neut	n/a
95.017	0.830	rating_par	-0.767
99.016	5.000	att_neg	n/a
105.007	0.365	rating_par	1.233
111.015	5.000	att_neg	n/a
119.014	0.447	rating_par	1.233
127.013	5.000	suppr_neg	n/a
134.017	0.306	rating_par	-0.767
141.004	5.000	att_neut	n/a
147.011	0.576	rating_par	-0.767
151.011	5.000	att_neg	n/a
159.010	0.330	rating_par	1.233
170.013	5.000	att_neut	n/a
177.017	0.563	rating_par	-0.767
183.007	5.000	att_neg	n/a
190.011	0.306	rating_par	0.233
194.011	5.000	att_neut	n/a
201.014	0.319	rating_par	-0.767
205.014	5.000	att_neut	n/a
212.017	0.597	rating_par	-0.767
217.012	5.000	suppr_neg	n/a
223.004	0.657	rating_par	1.233
233.011	5.000	att_neut	n/a
241.010	1.196	rating_par	-0.767
248.013	5.000	att_neg	n/a
254.004	0.392	rating_par	1.233
259.016	5.000	suppr_neg	n/a
266.003	0.323	rating_par	0.233
272.011	5.000	att_neut	n/a
280.010	0.523	rating_par	-0.767
285.005	5.000	att_neut	n/a
292.009	0.402	rating_par	-0.767
297.004	5.000	suppr_neg	n/a
305.003	0.312	rating_par	0.233
309.003	5.000	att_neg	n/a
316.006	0.470	rating_par	2.233
320.006	5.000	suppr_neg	n/a
326.014	0.575	rating_par	-0.767
339.008	5.000	suppr_neg	n/a
347.007	0.508	rating_par	0.233
353.015	5.000	att_neg	n/a
362.010	0.401	rating_par	-0.767
367.005	5.000	att_neg	n/a
375.004	0.286	rating_par	0.233
380.016	5.000	att_neut	n/a
386.007	1.188	rating_par	-0.767
