onset	duration	trial_type	congruent_incorrect	incongruent_incorrect	Rsponse	StimVar	Stimulus	ResponseTime
0.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	935
10.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	836
20.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	591
30.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	873
40.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	630
52.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	784
64.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	571
76.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	639
88.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	720
102.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	499
116.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	445
130.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	495
140.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	755
154.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	556
164.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	721
174.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	699
184.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	664
196.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	539
208.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	540
220.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	672
232.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	1010
246.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	604
260.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	654
274.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	497
