onset	duration	trial_type	congruent_incorrect	Unnamed: 1	Rsponse	StimVar	Stimulus	ResponseTime
0.0	1.0	congruent_correct	n/a	1	1	congruent	497	n/a
2.5	1.0	congruent_correct	n/a	1	1	congruent	446	n/a
10.0	1.0	incongruent_correct	n/a	1	2	incongruent	580	n/a
12.5	1.0	incongruent_correct	n/a	1	2	incongruent	448	n/a
15.0	1.0	incongruent_correct	n/a	1	2	incongruent	556	n/a
17.5	1.0	incongruent_correct	n/a	1	2	incongruent	407	n/a
25.0	1.0	congruent_correct	n/a	1	1	congruent	479	n/a
27.5	1.0	congruent_correct	n/a	1	1	congruent	363	n/a
30.0	1.0	incongruent_incorrect	n/a	0	2	incongruent	409	n/a
32.5	1.0	congruent_correct	n/a	1	1	congruent	486	n/a
35.0	1.0	incongruent_correct	n/a	1	2	incongruent	715	n/a
37.5	1.0	congruent_correct	n/a	1	1	congruent	512	n/a
40.0	1.0	congruent_correct	n/a	1	1	congruent	725	n/a
42.5	1.0	incongruent_correct	n/a	1	2	incongruent	600	n/a
45.0	1.0	incongruent_correct	n/a	1	2	incongruent	493	n/a
47.5	1.0	incongruent_correct	n/a	1	2	incongruent	658	n/a
50.0	1.0	incongruent_correct	n/a	1	2	incongruent	614	n/a
52.5	1.0	incongruent_correct	n/a	1	2	incongruent	954	n/a
60.0	1.0	congruent_correct	n/a	1	1	congruent	656	n/a
62.5	1.0	congruent_correct	n/a	1	1	congruent	397	n/a
65.0	1.0	congruent_correct	n/a	1	1	congruent	346	n/a
67.5	1.0	congruent_correct	n/a	1	1	congruent	399	n/a
75.0	1.0	congruent_correct	n/a	1	1	congruent	477	n/a
77.5	1.0	congruent_correct	n/a	1	1	congruent	393	n/a
80.0	1.0	congruent_correct	n/a	1	1	congruent	398	n/a
82.5	1.0	incongruent_correct	n/a	1	2	incongruent	466	n/a
85.0	1.0	incongruent_correct	n/a	1	2	incongruent	495	n/a
87.5	1.0	congruent_correct	n/a	1	1	congruent	388	n/a
90.0	1.0	incongruent_correct	n/a	1	2	incongruent	465	n/a
92.5	1.0	congruent_correct	n/a	1	1	congruent	389	n/a
95.0	1.0	congruent_correct	n/a	1	1	congruent	361	n/a
97.5	1.0	incongruent_correct	n/a	1	2	incongruent	410	n/a
100.0	1.0	congruent_correct	n/a	1	1	congruent	404	n/a
102.5	1.0	incongruent_correct	n/a	1	2	incongruent	488	n/a
105.0	1.0	incongruent_correct	n/a	1	2	incongruent	444	n/a
107.5	1.0	incongruent_correct	n/a	1	2	incongruent	473	n/a
110.0	1.0	congruent_correct	n/a	1	1	congruent	407	n/a
112.5	1.0	congruent_correct	n/a	1	1	congruent	370	n/a
120.0	1.0	congruent_correct	n/a	1	1	congruent	528	n/a
122.5	1.0	congruent_correct	n/a	1	1	congruent	404	n/a
125.0	1.0	congruent_correct	n/a	1	1	congruent	417	n/a
127.5	1.0	congruent_correct	n/a	1	1	congruent	382	n/a
130.0	1.0	congruent_correct	n/a	1	1	congruent	386	n/a
132.5	1.0	incongruent_correct	n/a	1	2	incongruent	512	n/a
135.0	1.0	congruent_correct	n/a	1	1	congruent	364	n/a
137.5	1.0	incongruent_correct	n/a	1	2	incongruent	473	n/a
140.0	1.0	congruent_correct	n/a	1	1	congruent	406	n/a
142.5	1.0	incongruent_correct	n/a	1	2	incongruent	513	n/a
150.0	1.0	incongruent_correct	n/a	1	2	incongruent	576	n/a
152.5	1.0	congruent_correct	n/a	1	1	congruent	406	n/a
155.0	1.0	incongruent_correct	n/a	1	2	incongruent	474	n/a
157.5	1.0	incongruent_correct	n/a	1	2	incongruent	438	n/a
160.0	1.0	incongruent_correct	n/a	1	2	incongruent	539	n/a
162.5	1.0	incongruent_correct	n/a	1	2	incongruent	472	n/a
165.0	1.0	incongruent_correct	n/a	1	2	incongruent	453	n/a
167.5	1.0	incongruent_correct	n/a	1	2	incongruent	417	n/a
170.0	1.0	incongruent_correct	n/a	1	2	incongruent	606	n/a
172.5	1.0	incongruent_correct	n/a	1	2	incongruent	418	n/a
175.0	1.0	congruent_correct	n/a	1	1	congruent	512	n/a
177.5	1.0	congruent_correct	n/a	1	1	congruent	404	n/a
185.0	1.0	incongruent_correct	n/a	1	2	incongruent	561	n/a
187.5	1.0	congruent_correct	n/a	1	1	congruent	382	n/a
190.0	1.0	congruent_correct	n/a	1	1	congruent	403	n/a
192.5	1.0	incongruent_correct	n/a	1	2	incongruent	536	n/a
195.0	1.0	incongruent_correct	n/a	1	2	incongruent	484	n/a
197.5	1.0	incongruent_correct	n/a	1	2	incongruent	418	n/a
200.0	1.0	incongruent_correct	n/a	1	2	incongruent	430	n/a
202.5	1.0	congruent_correct	n/a	1	1	congruent	506	n/a
210.0	1.0	incongruent_correct	n/a	1	2	incongruent	584	n/a
212.5	1.0	incongruent_correct	n/a	1	2	incongruent	516	n/a
215.0	1.0	congruent_correct	n/a	1	1	congruent	401	n/a
217.5	1.0	incongruent_correct	n/a	1	2	incongruent	463	n/a
225.0	1.0	congruent_correct	n/a	1	1	congruent	499	n/a
227.5	1.0	congruent_correct	n/a	1	1	congruent	384	n/a
230.0	1.0	congruent_correct	n/a	1	1	congruent	405	n/a
232.5	1.0	congruent_correct	n/a	1	1	congruent	378	n/a
235.0	1.0	incongruent_correct	n/a	1	2	incongruent	495	n/a
237.5	1.0	congruent_correct	n/a	1	1	congruent	372	n/a
240.0	1.0	congruent_correct	n/a	1	1	congruent	344	n/a
242.5	1.0	incongruent_correct	n/a	1	2	incongruent	477	n/a
245.0	1.0	incongruent_correct	n/a	1	2	incongruent	417	n/a
247.5	1.0	congruent_correct	n/a	1	1	congruent	398	n/a
250.0	1.0	incongruent_correct	n/a	1	2	incongruent	434	n/a
252.5	1.0	congruent_correct	n/a	1	1	congruent	447	n/a
260.0	1.0	incongruent_correct	n/a	1	2	incongruent	525	n/a
262.5	1.0	congruent_correct	n/a	1	1	congruent	457	n/a
270.0	1.0	congruent_correct	n/a	1	1	congruent	624	n/a
272.5	1.0	congruent_correct	n/a	1	1	congruent	493	n/a
275.0	1.0	incongruent_correct	n/a	1	2	incongruent	457	n/a
277.5	1.0	congruent_correct	n/a	1	1	congruent	429	n/a
285.0	1.0	congruent_correct	n/a	1	1	congruent	492	n/a
287.5	1.0	incongruent_correct	n/a	1	2	incongruent	504	n/a
290.0	1.0	congruent_correct	n/a	1	1	congruent	374	n/a
292.5	1.0	incongruent_correct	n/a	1	2	incongruent	465	n/a
295.0	1.0	incongruent_correct	n/a	1	2	incongruent	381	n/a
297.5	1.0	incongruent_correct	n/a	1	2	incongruent	388	n/a
