onset	duration	trial_type	congruent_incorrect	Rsponse	StimVar	Stimulus	ResponseTime
0.000	2.000	incongruent_correct	n/a	1	2	 incongruent	497
10.000	2.000	congruent_correct	n/a	1	1	 congruent	339
20.000	2.000	congruent_correct	n/a	1	1	 congruent	377
30.000	2.000	incongruent_correct	n/a	1	1	 congruent	492
40.000	2.000	incongruent_correct	n/a	1	2	 incongruent	399
52.000	2.000	incongruent_correct	n/a	1	1	 congruent	475
64.000	2.000	congruent_correct	n/a	1	2	 incongruent	420
76.000	2.000	congruent_correct	n/a	1	2	 incongruent	337
88.000	2.000	congruent_correct	n/a	1	1	 congruent	370
102.000	2.000	incongruent_correct	n/a	1	2	 incongruent	453
116.000	2.000	incongruent_correct	n/a	1	1	 congruent	455
130.000	2.000	incongruent_correct	n/a	1	2	 incongruent	464
140.000	2.000	incongruent_correct	n/a	1	2	 incongruent	388
150.000	2.000	congruent_correct	n/a	1	2	 incongruent	360
164.000	2.000	congruent_correct	n/a	1	1	 congruent	353
174.000	2.000	congruent_correct	n/a	1	1	 congruent	332
184.000	2.000	incongruent_correct	n/a	1	2	 incongruent	513
196.000	2.000	congruent_correct	n/a	1	1	 congruent	379
208.000	2.000	congruent_correct	n/a	1	2	 incongruent	414
220.000	2.000	incongruent_correct	n/a	1	1	 congruent	473
232.000	2.000	incongruent_correct	n/a	1	1	 congruent	420
246.000	2.000	congruent_correct	n/a	1	2	 incongruent	382
260.000	2.000	incongruent_incorrect	n/a	0	1	 congruent	335
274.000	2.000	congruent_correct	n/a	1	2	 incongruent	419
