onset	duration	trial_type	congruent_incorrect	Rsponse	StimVar	Stimulus	ResponseTime
0.000	2.000	incongruent_correct	n/a	1	1	 congruent	702
10.000	2.000	congruent_correct	n/a	1	1	 congruent	563
20.000	2.000	incongruent_correct	n/a	1	1	 congruent	703
30.000	2.000	congruent_correct	n/a	1	2	 incongruent	546
40.000	2.000	incongruent_correct	n/a	1	2	 incongruent	615
52.000	2.000	congruent_correct	n/a	1	2	 incongruent	545
64.000	2.000	incongruent_correct	n/a	1	2	 incongruent	699
76.000	2.000	congruent_correct	n/a	1	1	 congruent	479
88.000	2.000	incongruent_correct	n/a	1	1	 congruent	665
102.000	2.000	congruent_correct	n/a	1	2	 incongruent	547
116.000	2.000	congruent_correct	n/a	1	1	 congruent	444
130.000	2.000	incongruent_correct	n/a	1	1	 congruent	712
144.000	2.000	incongruent_correct	n/a	1	2	 incongruent	624
154.000	2.000	congruent_correct	n/a	1	1	 congruent	613
164.000	2.000	congruent_correct	n/a	1	2	 incongruent	528
174.000	2.000	incongruent_correct	n/a	1	2	 incongruent	684
184.000	2.000	congruent_correct	n/a	1	1	 congruent	647
196.000	2.000	incongruent_correct	n/a	1	2	 incongruent	595
208.000	2.000	congruent_correct	n/a	1	1	 congruent	469
220.000	2.000	congruent_correct	n/a	1	1	 congruent	559
234.000	2.000	incongruent_incorrect	n/a	0	2	 incongruent	738
246.000	2.000	incongruent_correct	n/a	1	1	 congruent	780
260.000	2.000	congruent_correct	n/a	1	2	 incongruent	551
274.000	2.000	incongruent_correct	n/a	1	2	 incongruent	632
