onset	duration	trial_type	trial_name	stim_file	stim_file_index
29.75	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	8
37.733	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	21
40.8	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	32
58.983	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	29
72.933	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	23
76.833	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	30
81.267	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	9
90.1	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	15
97.583	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	3
118.15	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	14
123.767	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	22
136.683	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	5
145.017	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	2
154.533	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	20
157.933	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	31
163.033	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	25
167.783	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	18
179.183	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	10
185.817	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	7
196.517	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	26
199.75	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	17
216.233	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	16
226.267	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	1
241.4	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	19
265.367	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	12
271.667	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	6
275.917	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	4
281.867	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	28
293.933	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	27
299.2	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	13
302.933	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	24
310.083	0.2	1	HRFPATTERN	sub-som682_ses-nyu3t01_task-hrfpattern_run-1.mat	11
