onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index
11.9	0.133	0.133	128	TWOPULSE-4	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	29
16.667	0.133	0.017	125	TWOPULSE-1	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	19
20.917	0.133	0.067	127	TWOPULSE-3	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	25
26.35	0.133	0	122	ONEPULSE-4	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	11
30.767	0.267	0	123	ONEPULSE-5	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	13
36.217	0.133	0.067	127	TWOPULSE-3	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	26
39.95	0.133	0.267	129	TWOPULSE-5	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	32
43.017	0.133	0.033	126	TWOPULSE-2	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	22
47.267	0.017	0	119	ONEPULSE-1	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	2
52.867	0.533	0	124	ONEPULSE-6	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	17
57.967	0.133	0	122	ONEPULSE-4	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	12
63.233	0.133	0.033	126	TWOPULSE-2	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	23
67.317	0.533	0	124	ONEPULSE-6	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	18
72.417	0.133	0.017	125	TWOPULSE-1	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	20
77.183	0.267	0	123	ONEPULSE-5	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	15
82.967	0.033	0	120	ONEPULSE-2	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	6
86.533	0.133	0.533	130	TWOPULSE-6	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	35
89.933	0.133	0.533	130	TWOPULSE-6	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	34
93.833	0.067	0	121	ONEPULSE-3	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	7
96.9	0.133	0.067	127	TWOPULSE-3	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	27
102.517	0.067	0	121	ONEPULSE-3	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	9
105.733	0.133	0.267	129	TWOPULSE-5	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	33
111.017	0.533	0	124	ONEPULSE-6	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	16
114.583	0.133	0	122	ONEPULSE-4	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	10
118.667	0.133	0.133	128	TWOPULSE-4	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	30
122.067	0.067	0	121	ONEPULSE-3	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	8
125.283	0.017	0	119	ONEPULSE-1	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	1
131.067	0.133	0.267	129	TWOPULSE-5	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	31
134.983	0.017	0	119	ONEPULSE-1	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	3
139.567	0.267	0	123	ONEPULSE-5	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	14
145.517	0.133	0.133	128	TWOPULSE-4	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	28
149.933	0.133	0.033	126	TWOPULSE-2	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	24
153.683	0.133	0.017	125	TWOPULSE-1	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	21
159.633	0.133	0.533	130	TWOPULSE-6	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	36
164.567	0.033	0	120	ONEPULSE-2	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	4
169.483	0.033	0	120	ONEPULSE-2	sub-som682_ses-nyu3t01_task-temporalpattern_run-1.mat	5
