onset	duration	ISI	trial_type	trial_name	stim_file
11.9	0.5	0	109	CRF-3	stim_109_CRF-3_01.png
16.833	0.5	0	107	CRF-1	stim_107_CRF-1_02.png
22.617	0.5	0	112	GRATING	stim_112_GRATING_02.png
26.017	0.5	0	116	SPARSITY-2	stim_116_SPARSITY-2_02.png
29.417	0.5	0	115	SPARSITY-1	stim_115_SPARSITY-1_02.png
34.85	0.5	0	110	CRF-4	stim_110_CRF-4_03.png
38.417	0.5	0	115	SPARSITY-1	stim_115_SPARSITY-1_01.png
42.667	0.5	0	112	GRATING	stim_112_GRATING_03.png
47.767	0.5	0	113	PLAID	stim_113_PLAID_02.png
50.833	0.5	0	111	CRF-5	stim_111_CRF-5_03.png
54.4	0.5	0	107	CRF-1	stim_107_CRF-1_01.png
59.333	0.5	0	113	PLAID	stim_113_PLAID_01.png
63.583	0.5	0	114	CIRCULAR	stim_114_CIRCULAR_03.png
69.183	0.5	0	114	CIRCULAR	stim_114_CIRCULAR_02.png
73.783	0.5	0	117	SPARSITY-3	stim_117_SPARSITY-3_01.png
77.517	0.5	0	108	CRF-2	stim_108_CRF-2_02.png
82.283	0.5	0	107	CRF-1	stim_107_CRF-1_03.png
88.067	0.5	0	116	SPARSITY-2	stim_116_SPARSITY-2_03.png
92.483	0.5	0	108	CRF-2	stim_108_CRF-2_03.png
96.9	0.5	0	109	CRF-3	stim_109_CRF-3_02.png
100.817	0.5	0	118	SPARSITY-4	stim_118_SPARSITY-4_02.png
106.083	0.5	0	116	SPARSITY-2	stim_116_SPARSITY-2_01.png
111.517	0.5	0	118	SPARSITY-4	stim_118_SPARSITY-4_01.png
116.617	0.5	0	112	GRATING	stim_112_GRATING_01.png
120.367	0.5	0	115	SPARSITY-1	stim_115_SPARSITY-1_03.png
125.967	0.5	0	117	SPARSITY-3	stim_117_SPARSITY-3_03.png
131.917	0.5	0	108	CRF-2	stim_108_CRF-2_01.png
135.15	0.5	0	110	CRF-4	stim_110_CRF-4_02.png
138.383	0.5	0	113	PLAID	stim_113_PLAID_03.png
142.283	0.5	0	114	CIRCULAR	stim_114_CIRCULAR_01.png
145.35	0.5	0	117	SPARSITY-3	stim_117_SPARSITY-3_02.png
149.433	0.5	0	110	CRF-4	stim_110_CRF-4_01.png
154.183	0.5	0	111	CRF-5	stim_111_CRF-5_02.png
160.133	0.5	0	111	CRF-5	stim_111_CRF-5_01.png
164.217	0.5	0	109	CRF-3	stim_109_CRF-3_03.png
169.483	0.5	0	118	SPARSITY-4	stim_118_SPARSITY-4_03.png
