onset	duration	ISI	trial_type	trial_name	stim_file
11.9	0.5	0	132	LETTERS	stim_132_LETTERS_03.png
16.483	0.5	0	131	FACES	stim_131_FACES_05.png
20.733	0.5	0	132	LETTERS	stim_132_LETTERS_10.png
25.667	0.5	0	131	FACES	stim_131_FACES_08.png
31.617	0.5	0	132	LETTERS	stim_132_LETTERS_12.png
36.383	0.5	0	132	LETTERS	stim_132_LETTERS_11.png
41.65	0.5	0	131	FACES	stim_131_FACES_10.png
45.567	0.5	0	131	FACES	stim_131_FACES_01.png
49.983	0.5	0	132	LETTERS	stim_132_LETTERS_08.png
53.033	0.5	0	131	FACES	stim_131_FACES_03.png
58.483	0.5	0	131	FACES	stim_131_FACES_11.png
62.567	0.5	0	133	HOUSES	stim_133_HOUSES_05.png
68.517	0.5	0	133	HOUSES	stim_133_HOUSES_01.png
74.117	0.5	0	133	HOUSES	stim_133_HOUSES_08.png
79.9	0.5	0	133	HOUSES	stim_133_HOUSES_09.png
83.633	0.5	0	133	HOUSES	stim_133_HOUSES_03.png
88.733	0.5	0	132	LETTERS	stim_132_LETTERS_06.png
92.65	0.5	0	132	LETTERS	stim_132_LETTERS_04.png
97.067	0.5	0	131	FACES	stim_131_FACES_04.png
102.683	0.5	0	132	LETTERS	stim_132_LETTERS_05.png
105.917	0.5	0	131	FACES	stim_131_FACES_12.png
109.65	0.5	0	133	HOUSES	stim_133_HOUSES_11.png
115.433	0.5	0	133	HOUSES	stim_133_HOUSES_02.png
120.867	0.5	0	133	HOUSES	stim_133_HOUSES_07.png
124.267	0.5	0	133	HOUSES	stim_133_HOUSES_06.png
127.667	0.5	0	131	FACES	stim_131_FACES_02.png
131.233	0.5	0	132	LETTERS	stim_132_LETTERS_09.png
134.467	0.5	0	132	LETTERS	stim_132_LETTERS_07.png
139.4	0.5	0	133	HOUSES	stim_133_HOUSES_04.png
142.467	0.5	0	132	LETTERS	stim_132_LETTERS_02.png
147.567	0.5	0	131	FACES	stim_131_FACES_07.png
151.633	0.5	0	131	FACES	stim_131_FACES_06.png
156.917	0.5	0	132	LETTERS	stim_132_LETTERS_01.png
161.167	0.5	0	133	HOUSES	stim_133_HOUSES_12.png
164.733	0.5	0	131	FACES	stim_131_FACES_09.png
169.483	0.5	0	133	HOUSES	stim_133_HOUSES_10.png
