onset	duration	trial_type	congruent_incorrect	incongruent_incorrect	Unnamed: 1	Rsponse	StimVar	Stimulus	ResponseTime
0.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	788	n/a
2.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	451	n/a
10.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	823	n/a
12.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	407	n/a
15.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	549	n/a
17.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	420	n/a
25.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	825	n/a
27.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	456	n/a
30.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	424	n/a
32.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	558	n/a
35.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	477	n/a
37.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	419	n/a
40.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	395	n/a
42.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	449	n/a
45.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	456	n/a
47.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	502	n/a
50.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	406	n/a
52.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	436	n/a
60.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	585	n/a
62.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	424	n/a
65.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	431	n/a
67.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	366	n/a
75.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	578	n/a
77.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	370	n/a
80.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	520	n/a
82.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	568	n/a
85.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	446	n/a
87.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	517	n/a
90.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	491	n/a
92.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	515	n/a
95.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	537	n/a
97.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	496	n/a
100.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	647	n/a
102.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	518	n/a
105.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	429	n/a
107.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	531	n/a
110.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	507	n/a
112.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	513	n/a
120.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	598	n/a
122.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	389	n/a
125.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	628	n/a
127.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	354	n/a
130.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	417	n/a
132.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	624	n/a
135.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	479	n/a
137.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	518	n/a
140.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	500	n/a
142.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	468	n/a
150.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	560	n/a
152.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	624	n/a
155.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	518	n/a
157.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	469	n/a
160.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	459	n/a
162.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	395	n/a
165.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	481	n/a
167.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	392	n/a
