name	type	units	low_cutoff	high_cutoff	sampling_frequency	reference	group	status
v'1	SEEG	uV	n/a	n/a	512	intracranial	v'	bad
v'2	SEEG	uV	n/a	n/a	512	intracranial	v'	good
v'3	SEEG	uV	n/a	n/a	512	intracranial	v'	good
v'4	SEEG	uV	n/a	n/a	512	intracranial	v'	good
v'12	SEEG	uV	n/a	n/a	512	intracranial	v'	good
v'13	SEEG	uV	n/a	n/a	512	intracranial	v'	good
v'14	SEEG	uV	n/a	n/a	512	intracranial	v'	good
v'15	SEEG	uV	n/a	n/a	512	intracranial	v'	good
y'1	SEEG	uV	n/a	n/a	512	intracranial	y'	good
y'2	SEEG	uV	n/a	n/a	512	intracranial	y'	good
y'3	SEEG	uV	n/a	n/a	512	intracranial	y'	good
y'4	SEEG	uV	n/a	n/a	512	intracranial	y'	good
y'5	SEEG	uV	n/a	n/a	512	intracranial	y'	good
y'6	SEEG	uV	n/a	n/a	512	intracranial	y'	good
y'7	SEEG	uV	n/a	n/a	512	intracranial	y'	good
y'8	SEEG	uV	n/a	n/a	512	intracranial	y'	good
y'9	SEEG	uV	n/a	n/a	512	intracranial	y'	good
y'16	SEEG	uV	n/a	n/a	512	intracranial	y'	good
y'17	SEEG	uV	n/a	n/a	512	intracranial	y'	good
y'18	SEEG	uV	n/a	n/a	512	intracranial	y'	good
t'1	SEEG	uV	n/a	n/a	512	intracranial	t'	good
t'2	SEEG	uV	n/a	n/a	512	intracranial	t'	good
t'3	SEEG	uV	n/a	n/a	512	intracranial	t'	good
t'4	SEEG	uV	n/a	n/a	512	intracranial	t'	good
t'5	SEEG	uV	n/a	n/a	512	intracranial	t'	good
t'6	SEEG	uV	n/a	n/a	512	intracranial	t'	good
t'7	SEEG	uV	n/a	n/a	512	intracranial	t'	good
t'8	SEEG	uV	n/a	n/a	512	intracranial	t'	bad
u'1	SEEG	uV	n/a	n/a	512	intracranial	u'	good
u'2	SEEG	uV	n/a	n/a	512	intracranial	u'	good
u'3	SEEG	uV	n/a	n/a	512	intracranial	u'	good
u'5	SEEG	uV	n/a	n/a	512	intracranial	u'	good
u'6	SEEG	uV	n/a	n/a	512	intracranial	u'	good
u'7	SEEG	uV	n/a	n/a	512	intracranial	u'	good
u'8	SEEG	uV	n/a	n/a	512	intracranial	u'	good
et'1	SEEG	uV	n/a	n/a	512	intracranial	et'	good
et'2	SEEG	uV	n/a	n/a	512	intracranial	et'	good
et'3	SEEG	uV	n/a	n/a	512	intracranial	et'	good
et'6	SEEG	uV	n/a	n/a	512	intracranial	et'	good
et'7	SEEG	uV	n/a	n/a	512	intracranial	et'	good
et'8	SEEG	uV	n/a	n/a	512	intracranial	et'	good
et'9	SEEG	uV	n/a	n/a	512	intracranial	et'	good
b'1	SEEG	uV	n/a	n/a	512	intracranial	b'	good
b'2	SEEG	uV	n/a	n/a	512	intracranial	b'	good
b'3	SEEG	uV	n/a	n/a	512	intracranial	b'	good
b'4	SEEG	uV	n/a	n/a	512	intracranial	b'	good
b'5	SEEG	uV	n/a	n/a	512	intracranial	b'	good
b'10	SEEG	uV	n/a	n/a	512	intracranial	b'	good
b'11	SEEG	uV	n/a	n/a	512	intracranial	b'	good
b'12	SEEG	uV	n/a	n/a	512	intracranial	b'	good
c'1	SEEG	uV	n/a	n/a	512	intracranial	c'	good
c'2	SEEG	uV	n/a	n/a	512	intracranial	c'	good
c'3	SEEG	uV	n/a	n/a	512	intracranial	c'	good
c'9	SEEG	uV	n/a	n/a	512	intracranial	c'	good
c'10	SEEG	uV	n/a	n/a	512	intracranial	c'	good
c'11	SEEG	uV	n/a	n/a	512	intracranial	c'	good
c'12	SEEG	uV	n/a	n/a	512	intracranial	c'	good
d'7	SEEG	uV	n/a	n/a	512	intracranial	d'	good
d'8	SEEG	uV	n/a	n/a	512	intracranial	d'	good
d'9	SEEG	uV	n/a	n/a	512	intracranial	d'	good
d'10	SEEG	uV	n/a	n/a	512	intracranial	d'	good
d'11	SEEG	uV	n/a	n/a	512	intracranial	d'	good
x'1	SEEG	uV	n/a	n/a	512	intracranial	x'	good
x'2	SEEG	uV	n/a	n/a	512	intracranial	x'	good
x'3	SEEG	uV	n/a	n/a	512	intracranial	x'	good
x'6	SEEG	uV	n/a	n/a	512	intracranial	x'	good
x'7	SEEG	uV	n/a	n/a	512	intracranial	x'	good
x'8	SEEG	uV	n/a	n/a	512	intracranial	x'	good
x'9	SEEG	uV	n/a	n/a	512	intracranial	x'	good
x'12	SEEG	uV	n/a	n/a	512	intracranial	x'	good
x'13	SEEG	uV	n/a	n/a	512	intracranial	x'	good
x'14	SEEG	uV	n/a	n/a	512	intracranial	x'	good
e'1	SEEG	uV	n/a	n/a	512	intracranial	e'	good
e'2	SEEG	uV	n/a	n/a	512	intracranial	e'	good
e'3	SEEG	uV	n/a	n/a	512	intracranial	e'	good
e'4	SEEG	uV	n/a	n/a	512	intracranial	e'	good
e'5	SEEG	uV	n/a	n/a	512	intracranial	e'	good
e'8	SEEG	uV	n/a	n/a	512	intracranial	e'	good
e'9	SEEG	uV	n/a	n/a	512	intracranial	e'	good
e'10	SEEG	uV	n/a	n/a	512	intracranial	e'	good
e'11	SEEG	uV	n/a	n/a	512	intracranial	e'	good
l'1	SEEG	uV	n/a	n/a	512	intracranial	l'	good
l'2	SEEG	uV	n/a	n/a	512	intracranial	l'	good
l'3	SEEG	uV	n/a	n/a	512	intracranial	l'	good
l'4	SEEG	uV	n/a	n/a	512	intracranial	l'	good
l'5	SEEG	uV	n/a	n/a	512	intracranial	l'	good
l'6	SEEG	uV	n/a	n/a	512	intracranial	l'	good
l'7	SEEG	uV	n/a	n/a	512	intracranial	l'	good
l'8	SEEG	uV	n/a	n/a	512	intracranial	l'	good
l'9	SEEG	uV	n/a	n/a	512	intracranial	l'	good
f'1	SEEG	uV	n/a	n/a	512	intracranial	f'	good
f'2	SEEG	uV	n/a	n/a	512	intracranial	f'	good
f'3	SEEG	uV	n/a	n/a	512	intracranial	f'	good
f'4	SEEG	uV	n/a	n/a	512	intracranial	f'	good
f'8	SEEG	uV	n/a	n/a	512	intracranial	f'	good
f'9	SEEG	uV	n/a	n/a	512	intracranial	f'	good
f'10	SEEG	uV	n/a	n/a	512	intracranial	f'	good
f'11	SEEG	uV	n/a	n/a	512	intracranial	f'	good
f'12	SEEG	uV	n/a	n/a	512	intracranial	f'	good
g'1	SEEG	uV	n/a	n/a	512	intracranial	g'	good
g'2	SEEG	uV	n/a	n/a	512	intracranial	g'	good
g'3	SEEG	uV	n/a	n/a	512	intracranial	g'	good
g'4	SEEG	uV	n/a	n/a	512	intracranial	g'	good
g'5	SEEG	uV	n/a	n/a	512	intracranial	g'	good
g'6	SEEG	uV	n/a	n/a	512	intracranial	g'	good
g'7	SEEG	uV	n/a	n/a	512	intracranial	g'	good
g'8	SEEG	uV	n/a	n/a	512	intracranial	g'	good
g'9	SEEG	uV	n/a	n/a	512	intracranial	g'	good
g'10	SEEG	uV	n/a	n/a	512	intracranial	g'	good
g'11	SEEG	uV	n/a	n/a	512	intracranial	g'	good
g'12	SEEG	uV	n/a	n/a	512	intracranial	g'	good
o'1	SEEG	uV	n/a	n/a	512	intracranial	o'	good
o'2	SEEG	uV	n/a	n/a	512	intracranial	o'	good
o'5	SEEG	uV	n/a	n/a	512	intracranial	o'	good
o'6	SEEG	uV	n/a	n/a	512	intracranial	o'	good
o'10	SEEG	uV	n/a	n/a	512	intracranial	o'	good
o'11	SEEG	uV	n/a	n/a	512	intracranial	o'	good
o'12	SEEG	uV	n/a	n/a	512	intracranial	o'	good
s'1	SEEG	uV	n/a	n/a	512	intracranial	s'	good
