onset	duration	trial_type	rating_par
1.009	5	att_neut	n/a
7.017	3	rating_par	-0.567
15.016	5	att_neg	n/a
21.007	3	rating_par	0.433
29.006	5	att_neg	n/a
36.010	3	rating_par	0.433
41.005	5	suppr_neg	n/a
48.009	3	rating_par	-0.567
53.004	5	suppr_neg	n/a
61.003	3	rating_par	0.433
69.002	5	att_neg	n/a
76.006	3	rating_par	0.433
83.009	5	suppr_neg	n/a
89.017	3	rating_par	-0.567
100.003	5	att_neut	n/a
106.011	3	rating_par	-0.567
111.006	5	att_neut	n/a
117.014	3	rating_par	-0.567
121.013	5	suppr_neg	n/a
127.004	3	rating_par	-0.567
139.003	5	att_neg	n/a
146.007	3	rating_par	0.433
150.006	5	att_neut	n/a
157.010	3	rating_par	-0.567
163.017	5	suppr_neg	n/a
171.017	3	rating_par	0.433
176.012	5	att_neut	n/a
183.015	3	rating_par	0.433
188.011	5	att_neut	n/a
196.010	3	rating_par	-0.567
201.005	5	att_neg	n/a
208.009	3	rating_par	-0.567
212.008	5	att_neut	n/a
219.012	3	rating_par	-0.567
225.003	5	att_neg	n/a
233.002	3	rating_par	0.433
240.005	5	att_neut	n/a
247.009	3	rating_par	-0.567
252.004	5	suppr_neg	n/a
259.008	3	rating_par	0.433
263.007	5	att_neg	n/a
270.011	3	rating_par	-0.567
276.002	5	att_neg	n/a
285.013	3	rating_par	1.433
292.017	5	att_neut	n/a
301.011	3	rating_par	-0.567
307.003	5	suppr_neg	n/a
314.006	3	rating_par	0.433
319.001	5	suppr_neg	n/a
325.009	3	rating_par	-0.567
332.012	5	suppr_neg	n/a
339.016	3	rating_par	0.433
344.011	5	suppr_neg	n/a
351.015	3	rating_par	0.433
355.014	5	att_neg	n/a
361.005	3	rating_par	0.433
365.005	5	att_neut	n/a
373.004	3	rating_par	0.433
381.003	5	att_neg	n/a
387.011	3	rating_par	0.433
