name	type	units	description	sampling_frequency	reference
EKG	ECG	μV	EKG	200	n/a
Chin EMG	EMG	μV	EMG.Submental-Chin	200	n/a
REF	EEG	μV	EEG-REF	200	n/a
E1	EOG	μV	EOG-E1	200	n/a
E2	EOG	μV	EOG-E2	200	n/a
M1	EEG	μV	EEG-M1	200	n/a
C3	EEG	μV	EEG-C3	200	n/a
C4	EEG	μV	EEG-C4	200	n/a
M2	EEG	μV	EEG-M2	200	n/a
O1	EEG	μV	EEG-O1	200	n/a
O2	EEG	μV	EEG-O2	200	n/a
F3	EEG	μV	EEG-F3	200	n/a
Fz	EEG	μV	EEG-Fz	200	n/a
F4	EEG	μV	EEG-F4	200	n/a
Cz	EEG	μV	EEG-Cz	200	n/a
P3	EEG	μV	EEG-P3	200	n/a
Pz	EEG	μV	EEG-Pz	200	n/a
P4	EEG	μV	EEG-P4	200	n/a
