onset	duration	trial_type	rating_par
1.017	5	att_neut	n/a
7.008	3	rating_par	-1.067
15.007	5	att_neg	n/a
21.015	3	rating_par	0.933
29.014	5	att_neg	n/a
36.001	3	rating_par	-1.067
41.013	5	suppr_neg	n/a
48.017	3	rating_par	-0.067
53.012	5	suppr_neg	n/a
61.011	3	rating_par	-0.067
69.010	5	att_neg	n/a
76.014	3	rating_par	1.933
83.017	5	suppr_neg	n/a
89.008	3	rating_par	-0.067
100.011	5	att_neut	n/a
106.002	3	rating_par	-1.067
111.014	5	att_neut	n/a
117.005	3	rating_par	-1.067
121.005	5	suppr_neg	n/a
127.013	3	rating_par	0.933
139.011	5	att_neg	n/a
146.015	3	rating_par	1.933
150.014	5	att_neut	n/a
157.001	3	rating_par	-1.067
163.009	5	suppr_neg	n/a
171.008	3	rating_par	-0.067
176.003	5	att_neut	n/a
183.007	3	rating_par	-0.067
188.002	5	att_neut	n/a
196.001	3	rating_par	-1.067
201.013	5	att_neg	n/a
208.017	3	rating_par	1.933
212.016	5	att_neut	n/a
219.003	3	rating_par	-1.067
225.011	5	att_neg	n/a
233.010	3	rating_par	1.933
240.013	5	att_neut	n/a
247.017	3	rating_par	-1.067
252.012	5	suppr_neg	n/a
259.015	3	rating_par	-0.067
263.015	5	att_neg	n/a
270.002	3	rating_par	-0.067
276.010	5	att_neg	n/a
285.004	3	rating_par	1.933
292.008	5	att_neut	n/a
301.003	3	rating_par	-1.067
307.010	5	suppr_neg	n/a
314.014	3	rating_par	-1.067
319.009	5	suppr_neg	n/a
325.017	3	rating_par	-0.067
332.004	5	suppr_neg	n/a
339.007	3	rating_par	-1.067
344.002	5	suppr_neg	n/a
351.006	3	rating_par	-0.067
355.006	5	att_neg	n/a
361.013	3	rating_par	0.933
365.013	5	att_neut	n/a
373.012	3	rating_par	-1.067
381.011	5	att_neg	n/a
387.002	3	rating_par	0.933
