name	type	units	sampling_frequency	tracking_system	tracked_point	component	placement
Rigid1_eul_x	ORNT	rad	89.1536105340628	PhaseSpace	Rigid1	x	Rigid1
Rigid1_eul_y	ORNT	rad	89.1536105340628	PhaseSpace	Rigid1	y	Rigid1
Rigid1_eul_z	ORNT	rad	89.1536105340628	PhaseSpace	Rigid1	z	Rigid1
Rigid1_cart_x	POS	m	89.1536105340628	PhaseSpace	Rigid1	x	Rigid1
Rigid1_cart_y	POS	m	89.1536105340628	PhaseSpace	Rigid1	y	Rigid1
Rigid1_cart_z	POS	m	89.1536105340628	PhaseSpace	Rigid1	z	Rigid1
Rigid1_Conf	CONFIDENCE	n/a	89.1536105340628	PhaseSpace	Rigid1	Conf	Rigid1
Rigid2_eul_x	ORNT	rad	89.1536105340628	PhaseSpace	Rigid2	x	Rigid2
Rigid2_eul_y	ORNT	rad	89.1536105340628	PhaseSpace	Rigid2	y	Rigid2
Rigid2_eul_z	ORNT	rad	89.1536105340628	PhaseSpace	Rigid2	z	Rigid2
Rigid2_cart_x	POS	m	89.1536105340628	PhaseSpace	Rigid2	x	Rigid2
Rigid2_cart_y	POS	m	89.1536105340628	PhaseSpace	Rigid2	y	Rigid2
Rigid2_cart_z	POS	m	89.1536105340628	PhaseSpace	Rigid2	z	Rigid2
Rigid2_Conf	CONFIDENCE	n/a	89.1536105340628	PhaseSpace	Rigid2	Conf	Rigid2
Rigid3_eul_x	ORNT	rad	89.1536105340628	PhaseSpace	Rigid3	x	Rigid3
Rigid3_eul_y	ORNT	rad	89.1536105340628	PhaseSpace	Rigid3	y	Rigid3
Rigid3_eul_z	ORNT	rad	89.1536105340628	PhaseSpace	Rigid3	z	Rigid3
Rigid3_cart_x	POS	m	89.1536105340628	PhaseSpace	Rigid3	x	Rigid3
Rigid3_cart_y	POS	m	89.1536105340628	PhaseSpace	Rigid3	y	Rigid3
Rigid3_cart_z	POS	m	89.1536105340628	PhaseSpace	Rigid3	z	Rigid3
Rigid3_Conf	CONFIDENCE	n/a	89.1536105340628	PhaseSpace	Rigid3	Conf	Rigid3
Rigid4_eul_x	ORNT	rad	89.1536105340628	PhaseSpace	Rigid4	x	Rigid4
Rigid4_eul_y	ORNT	rad	89.1536105340628	PhaseSpace	Rigid4	y	Rigid4
Rigid4_eul_z	ORNT	rad	89.1536105340628	PhaseSpace	Rigid4	z	Rigid4
Rigid4_cart_x	POS	m	89.1536105340628	PhaseSpace	Rigid4	x	Rigid4
Rigid4_cart_y	POS	m	89.1536105340628	PhaseSpace	Rigid4	y	Rigid4
Rigid4_cart_z	POS	m	89.1536105340628	PhaseSpace	Rigid4	z	Rigid4
Rigid4_Conf	CONFIDENCE	n/a	89.1536105340628	PhaseSpace	Rigid4	Conf	Rigid4
PhaseSpace_latency	LATENCY	seconds	89.1536105340628	PhaseSpace	n/a	latency	n/a
headRigid_eul_x	ORNT	rad	89.1536307364188	HTCVive	headRigid	x	head
headRigid_eul_y	ORNT	rad	89.1536307364188	HTCVive	headRigid	y	head
headRigid_eul_z	ORNT	rad	89.1536307364188	HTCVive	headRigid	z	head
headRigid_cart_x	POS	m	89.1536307364188	HTCVive	headRigid	x	head
headRigid_cart_y	POS	m	89.1536307364188	HTCVive	headRigid	y	head
headRigid_cart_z	POS	m	89.1536307364188	HTCVive	headRigid	z	head
Rigid_headRigid_PS_offset_yaw	PS_OFFSET_YAW	euler	89.1536307364188	HTCVive	headRigid	yaw	head
HTCVive_latency	LATENCY	seconds	89.1536307364188	HTCVive	n/a	latency	n/a
