onset	duration	boy_action	dog_action	mother_action	environment_action
0.01	2.531				black screen
2.55	1				credits appear on the screen
3.57	0.98				bottom line visible
4.55	0.846				light diminish
5.4	0.844				caption brightness increased
6.25	0.368				screen becomes dark
6.62	0.628				title info's light flickering
7.25	0.105	Boy's eyes and mouth wide open			
7.355	0.19	"Boy's mouth slightly closes, eyebrows close towards eyes and face slightly shifts towards audience's right side"			
7.545	0.065	Boy's eyeballs shift towards audience's right side			
7.61	0.925				"Light brightens, light on boy's face brightens"
8.035	0.015	Eyeballs shift towards audience's left side			
8.075	0.09	"Eyebrows rise up, face shifts towards audience's left side"			
8.165	0.375	"Eyebrows rise up, jaw drops, mouth widens and face slightly shifts towards audience's left side"			
8.54	0.01				light dims
8.82	0.075	mouth closes and then completely shuts			
8.915	0.02	Head moves aback			
8.95	0.115	eyes close and head moves backward			
9	0.285				Light brightens
9.08	0.035	mouth starts opening and eyebrows rise up			
9.115	0.055	"eyes open, mouth widens, eyebrows lift up"			
9.17	0.325	"eyes open wide out, eyebrows rise up, mouth opens more, head moves forward "			
9.29	0.72				Light dims
9.5	0.055	Eyebrows lower down			
9.555	0.13	"Eyebrows lower down, eyes narrow down, mouth closes slightly"			
9.7	0.045	Eyeballs saccades to audience's right side			
9.745	0.055	Eyebrows center in			
9.825	0.06	Eyebrows center in further			
9.915	0.03	Head rises up			
9.99	0.075	Head rises up further			
10.02	0.505				Reflected TV screen's light brightens
10.165	0.025	Eyes saccade towards audience's left side			
10.305	0.35	"Eyebrows widen out, eyes open wide out, mouth closes slightly"			
10.53	0.245				Light slightly fades and maintains
10.655	0.13	"Head moves downwards, jaw drops to mouth slightly open position"			
10.79	0.705	Boy's head and shoulders crunches downward while pressing on the video game's remote control with thumbs and hands. He is looking at the screen with eyes wide open			
10.793	0.782				"Boy is sitting on the couch, with a video game's remote control in hands, gazing at a screen in a dark room that has lights off and blinds down"
11.58	0.245				screen TV's emitted light brightens in the dark room
11.83	0.2				screen TV's emitted light dims in the dark room
12.03	0.08				TV screen's emitted light brightens in the dark room
12.11	0.205				TV screen's emitted light dims in the dark room
12.315	0.205				TV screen's emitted light brightens in the dark room
