onset	duration	sample	event_type	face_type	repetition_type	trigger	stim_file
0.0040000000	n/a	1	setup	n/a	n/a	n/a	n/a
0.0040000000	n/a	1	right_sym	n/a	n/a	n/a	n/a
25.1161818182	n/a	6279.0455	show_face	famous_face	first_show	5	f074.bmp
25.9789090909	n/a	6494.7273	show_circle	n/a	n/a	0	circle.bmp
26.0261818182	n/a	6506.5455	left_press	n/a	n/a	256	n/a
27.6789090909	n/a	6919.7273	show_cross	n/a	n/a	n/a	cross.bmp
28.1734545455	n/a	7043.3636	show_face	unfamiliar_face	first_show	13	u011.bmp
29.0598181818	n/a	7264.9545	show_circle	n/a	n/a	0	circle.bmp
29.1116363636	n/a	7277.9091	left_press	n/a	n/a	256	n/a
30.7598181818	n/a	7689.9545	show_cross	n/a	n/a	n/a	cross.bmp
31.3307272727	n/a	7832.6818	show_face	scrambled_face	first_show	17	s036.bmp
32.2798181818	n/a	8069.9545	show_circle	n/a	n/a	0	circle.bmp
32.2952727273	n/a	8073.8182	left_press	n/a	n/a	256	n/a
33.9798181818	n/a	8494.9545	show_cross	n/a	n/a	n/a	cross.bmp
34.4380000000	n/a	8609.5	show_face	famous_face	first_show	5	f112.bmp
35.0207272727	n/a	8755.1818	right_press	n/a	n/a	4096	n/a
35.4343636364	n/a	8858.5909	show_circle	n/a	n/a	0	circle.bmp
37.1343636364	n/a	9283.5909	show_cross	n/a	n/a	n/a	cross.bmp
37.7789090909	n/a	9444.7273	show_face	famous_face	immediate_repeat	6	f112.bmp
38.3270909091	n/a	9581.7727	right_press	n/a	n/a	4096	n/a
38.6825454545	n/a	9670.6364	show_circle	n/a	n/a	0	circle.bmp
40.3825454545	n/a	10095.6364	show_cross	n/a	n/a	n/a	cross.bmp
40.9698181818	n/a	10242.4545	show_face	unfamiliar_face	first_show	13	u066.bmp
41.5543636364	n/a	10388.5909	left_press	n/a	n/a	256	n/a
41.9298181818	n/a	10482.4545	show_circle	n/a	n/a	0	circle.bmp
