onset	duration	sample	event_type	face_type	repetition_type	trigger	stim_file
0.0040000000	n/a	1	setup	n/a	n/a	n/a	n/a
0.0040000000	n/a	1	right_sym	n/a	n/a	n/a	n/a
25.0143636364	n/a	6253.5909	show_face	famous_face	first_show	5	f108.bmp
25.8598181818	n/a	6464.9545	right_press	n/a	n/a	4096	n/a
25.9516363636	n/a	6487.9091	show_circle	n/a	n/a	0	circle.bmp
27.6516363636	n/a	6912.9091	show_cross	n/a	n/a	n/a	cross.bmp
28.2552727273	n/a	7063.8182	show_face	scrambled_face	first_show	17	s141.bmp
28.9170909091	n/a	7229.2727	left_press	n/a	n/a	256	n/a
29.2725454545	n/a	7318.1364	show_circle	n/a	n/a	0	circle.bmp
30.9725454545	n/a	7743.1364	show_cross	n/a	n/a	n/a	cross.bmp
31.4452727273	n/a	7861.3182	show_face	scrambled_face	immediate_repeat	18	s141.bmp
32.1234545455	n/a	8030.8636	left_press	n/a	n/a	256	n/a
32.3816363636	n/a	8095.4091	show_circle	n/a	n/a	0	circle.bmp
34.0816363636	n/a	8520.4091	show_cross	n/a	n/a	n/a	cross.bmp
34.5698181818	n/a	8642.4545	show_face	unfamiliar_face	first_show	13	u132.bmp
35.3943636364	n/a	8848.5909	right_press	n/a	n/a	4096	n/a
35.4189090909	n/a	8854.7273	show_circle	n/a	n/a	0	circle.bmp
37.1189090909	n/a	9279.7273	show_cross	n/a	n/a	n/a	cross.bmp
37.7434545455	n/a	9435.8636	show_face	unfamiliar_face	immediate_repeat	14	u132.bmp
38.1970909091	n/a	9549.2727	right_press	n/a	n/a	4096	n/a
38.5725454545	n/a	9643.1364	show_circle	n/a	n/a	0	circle.bmp
40.2725454545	n/a	10068.1364	show_cross	n/a	n/a	n/a	cross.bmp
40.7834545455	n/a	10195.8636	show_face	scrambled_face	first_show	17	s033.bmp
41.6189090909	n/a	10404.7273	right_press	n/a	n/a	4096	n/a
41.7589090909	n/a	10439.7273	show_circle	n/a	n/a	0	circle.bmp
