onset	duration	sample	event_type	face_type	repetition_type	trigger	stim_file
0.0040000000	n/a	1	setup	n/a	n/a	n/a	n/a
0.0040000000	n/a	1	right_sym	n/a	n/a	n/a	n/a
23.9716363636	n/a	5992.9091	show_face	famous_face	first_show	5	f140.bmp
24.5898181818	n/a	6147.4545	right_press	n/a	n/a	4096	n/a
24.9252727273	n/a	6231.3182	show_circle	n/a	n/a	0	circle.bmp
26.6252727273	n/a	6656.3182	show_cross	n/a	n/a	n/a	cross.bmp
27.1798181818	n/a	6794.9545	show_face	famous_face	immediate_repeat	6	f140.bmp
27.5707272727	n/a	6892.6818	right_press	n/a	n/a	4096	n/a
28.0243636364	n/a	7006.0909	show_circle	n/a	n/a	0	circle.bmp
29.7243636364	n/a	7431.0909	show_cross	n/a	n/a	n/a	cross.bmp
30.3870909091	n/a	7596.7727	show_face	scrambled_face	first_show	17	s064.bmp
30.9552727273	n/a	7738.8182	left_press	n/a	n/a	256	n/a
31.2907272727	n/a	7822.6818	show_circle	n/a	n/a	0	circle.bmp
32.9907272727	n/a	8247.6818	show_cross	n/a	n/a	n/a	cross.bmp
33.5443636364	n/a	8386.0909	show_face	scrambled_face	immediate_repeat	18	s064.bmp
33.9398181818	n/a	8484.9545	left_press	n/a	n/a	256	n/a
34.4707272727	n/a	8617.6818	show_circle	n/a	n/a	0	circle.bmp
36.1707272727	n/a	9042.6818	show_cross	n/a	n/a	n/a	cross.bmp
36.7180000000	n/a	9179.5	show_face	scrambled_face	first_show	17	s092.bmp
37.4434545455	n/a	9360.8636	left_press	n/a	n/a	256	n/a
37.7170909091	n/a	9429.2727	show_circle	n/a	n/a	0	circle.bmp
39.4170909091	n/a	9854.2727	show_cross	n/a	n/a	n/a	cross.bmp
39.8752727273	n/a	9968.8182	show_face	scrambled_face	immediate_repeat	18	s092.bmp
40.2989090909	n/a	10074.7273	left_press	n/a	n/a	256	n/a
40.7552727273	n/a	10188.8182	show_circle	n/a	n/a	0	circle.bmp
