onset	duration	sample	event_type	face_type	repetition_type	trial	trial_lag	trigger	stim_file
0.004	n/a	1.0	setup	n/a	n/a	n/a	n/a	n/a	n/a
0.004	n/a	1.0	right_sym	n/a	n/a	n/a	n/a	n/a	n/a
25.0307272727	n/a	6257.6818	show_face	unfamiliar_face	first_show	1	n/a	13	u142.bmp
25.8189090909	n/a	6454.7273	right_press	n/a	n/a	1	n/a	4096	n/a
25.9616363636	n/a	6490.4091	show_circle	n/a	n/a	1	n/a	0	circle.bmp
27.661636363600003	n/a	6915.4091	show_cross	n/a	n/a	2	n/a	n/a	cross.bmp
28.1707272727	n/a	7042.6818	show_face	scrambled_face	first_show	2	n/a	17	s007.bmp
28.8207272727	n/a	7205.1818	left_press	n/a	n/a	2	n/a	256	n/a
29.111636363600002	n/a	7277.9091	show_circle	n/a	n/a	2	n/a	0	circle.bmp
30.8116363636	n/a	7702.9091	show_cross	n/a	n/a	3	n/a	n/a	cross.bmp
31.278	n/a	7819.5	show_face	scrambled_face	first_show	3	n/a	17	s004.bmp
31.7961818182	n/a	7949.0455	left_press	n/a	n/a	3	n/a	256	n/a
32.1225454545	n/a	8030.6364	show_circle	n/a	n/a	3	n/a	0	circle.bmp
33.822545454499995	n/a	8455.6364	show_cross	n/a	n/a	4	n/a	n/a	cross.bmp
34.301636363600004	n/a	8575.4091	show_face	famous_face	first_show	4	n/a	5	f086.bmp
34.9652727273	n/a	8741.3182	right_press	n/a	n/a	4	n/a	4096	n/a
35.1698181818	n/a	8792.4545	show_circle	n/a	n/a	4	n/a	0	circle.bmp
36.8698181818	n/a	9217.4545	show_cross	n/a	n/a	5	n/a	n/a	cross.bmp
37.3752727273	n/a	9343.8182	show_face	scrambled_face	first_show	5	n/a	17	s054.bmp
37.8943636364	n/a	9473.5909	left_press	n/a	n/a	5	n/a	256	n/a
38.3789090909	n/a	9594.7273	show_circle	n/a	n/a	5	n/a	0	circle.bmp
40.0789090909	n/a	10019.7273	show_cross	n/a	n/a	6	n/a	n/a	cross.bmp
40.6661818182	n/a	10166.5455	show_face	scrambled_face	immediate_repeat	6	1	18	s054.bmp
41.1598181818	n/a	10289.9545	left_press	n/a	n/a	6	n/a	256	n/a
41.4861818182	n/a	10371.5455	show_circle	n/a	n/a	6	n/a	0	circle.bmp
43.1861818182	n/a	10796.5455	show_cross	n/a	n/a	7	n/a	n/a	cross.bmp
43.6570909091	n/a	10914.2727	show_face	famous_face	first_show	7	n/a	5	f047.bmp
44.4952727273	n/a	11123.8182	show_circle	n/a	n/a	7	n/a	0	circle.bmp
44.8952727273	n/a	11223.8182	right_press	n/a	n/a	7	n/a	4096	n/a
46.195272727299994	n/a	11548.8182	show_cross	n/a	n/a	8	n/a	n/a	cross.bmp
46.747090909099995	n/a	11686.7727	show_face	famous_face	immediate_repeat	8	1	6	f047.bmp
47.1843636364	n/a	11796.0909	right_press	n/a	n/a	8	n/a	4096	n/a
47.7498181818	n/a	11937.4545	show_circle	n/a	n/a	8	n/a	0	circle.bmp
49.449818181800005	n/a	12362.4545	show_cross	n/a	n/a	9	n/a	n/a	cross.bmp
49.938	n/a	12484.5	show_face	unfamiliar_face	delayed_repeat	9	8	15	u142.bmp
50.765272727299994	n/a	12691.3182	show_circle	n/a	n/a	9	n/a	0	circle.bmp
51.34527272729999	n/a	12836.3182	left_press	n/a	n/a	9	n/a	256	n/a
52.4652727273	n/a	13116.3182	show_cross	n/a	n/a	10	n/a	n/a	cross.bmp
53.045272727299995	n/a	13261.3182	show_face	famous_face	first_show	10	n/a	5	f055.bmp
53.631636363599995	n/a	13407.9091	right_press	n/a	n/a	10	n/a	4096	n/a
