onset	duration	trial_type	Unnamed: 1	Rsponse	StimVar	Stimulus	ResponseTime
0.0	1.0	incongruent_correct	1	2	incongruent	590	n/a
2.5	1.0	incongruent_correct	1	2	incongruent	492	n/a
5.0	1.0	congruent_correct	1	1	congruent	751	n/a
7.5	1.0	congruent_correct	1	1	congruent	613	n/a
10.0	1.0	incongruent_correct	1	2	incongruent	529	n/a
12.5	1.0	incongruent_correct	1	2	incongruent	421	n/a
20.0	1.0	incongruent_correct	1	2	incongruent	531	n/a
22.5	1.0	incongruent_correct	1	2	incongruent	522	n/a
25.0	1.0	congruent_correct	1	1	congruent	925	n/a
27.5	1.0	congruent_correct	1	1	congruent	393	n/a
30.0	1.0	congruent_incorrect	0	1	congruent	935	n/a
32.5	1.0	congruent_correct	1	1	congruent	882	n/a
45.0	1.0	congruent_correct	1	1	congruent	723	n/a
47.5	1.0	congruent_correct	1	1	congruent	742	n/a
50.0	1.0	incongruent_correct	1	2	incongruent	836	n/a
52.5	1.0	incongruent_correct	1	2	incongruent	527	n/a
55.0	1.0	congruent_correct	1	1	congruent	853	n/a
57.5	1.0	incongruent_correct	1	2	incongruent	874	n/a
65.0	1.0	congruent_correct	1	1	congruent	1327	n/a
67.5	1.0	incongruent_correct	1	2	incongruent	548	n/a
70.0	1.0	incongruent_correct	1	2	incongruent	641	n/a
72.5	1.0	incongruent_correct	1	2	incongruent	518	n/a
75.0	1.0	congruent_correct	1	1	congruent	778	n/a
77.5	1.0	congruent_correct	1	1	congruent	1038	n/a
80.0	1.0	congruent_incorrect	0	1	congruent	0	n/a
82.5	1.0	congruent_correct	1	1	congruent	407	n/a
85.0	1.0	congruent_correct	1	1	congruent	660	n/a
87.5	1.0	incongruent_correct	1	2	incongruent	537	n/a
90.0	1.0	incongruent_correct	1	2	incongruent	582	n/a
92.5	1.0	congruent_incorrect	0	1	congruent	0	n/a
95.0	1.0	incongruent_correct	1	2	incongruent	600	n/a
97.5	1.0	incongruent_incorrect	0	2	incongruent	0	n/a
100.0	1.0	incongruent_correct	1	2	incongruent	785	n/a
102.5	1.0	incongruent_correct	1	2	incongruent	541	n/a
105.0	1.0	congruent_correct	1	1	congruent	834	n/a
107.5	1.0	congruent_correct	1	1	congruent	471	n/a
110.0	1.0	incongruent_correct	1	2	incongruent	811	n/a
112.5	1.0	incongruent_correct	1	2	incongruent	552	n/a
120.0	1.0	incongruent_correct	1	2	incongruent	589	n/a
122.5	1.0	congruent_correct	1	1	congruent	531	n/a
125.0	1.0	congruent_correct	1	1	congruent	536	n/a
127.5	1.0	congruent_correct	1	1	congruent	429	n/a
135.0	1.0	incongruent_correct	1	2	incongruent	682	n/a
137.5	1.0	congruent_correct	1	1	congruent	471	n/a
140.0	1.0	congruent_correct	1	1	congruent	540	n/a
142.5	1.0	incongruent_correct	1	2	incongruent	952	n/a
145.0	1.0	congruent_correct	1	1	congruent	773	n/a
147.5	1.0	incongruent_correct	1	2	incongruent	601	n/a
150.0	1.0	congruent_correct	1	1	congruent	863	n/a
152.5	1.0	congruent_correct	1	1	congruent	451	n/a
155.0	1.0	congruent_correct	1	1	congruent	536	n/a
157.5	1.0	incongruent_correct	1	2	incongruent	581	n/a
160.0	1.0	incongruent_correct	1	2	incongruent	592	n/a
162.5	1.0	congruent_correct	1	1	congruent	678	n/a
170.0	1.0	incongruent_correct	1	2	incongruent	531	n/a
172.5	1.0	congruent_correct	1	1	congruent	384	n/a
175.0	1.0	congruent_correct	1	1	congruent	772	n/a
177.5	1.0	incongruent_correct	1	2	incongruent	576	n/a
185.0	1.0	incongruent_correct	1	2	incongruent	591	n/a
187.5	1.0	incongruent_correct	1	2	incongruent	771	n/a
190.0	1.0	incongruent_correct	1	2	incongruent	746	n/a
192.5	1.0	incongruent_correct	1	2	incongruent	494	n/a
195.0	1.0	congruent_incorrect	0	1	congruent	564	n/a
197.5	1.0	congruent_correct	1	1	congruent	518	n/a
200.0	1.0	congruent_correct	1	1	congruent	467	n/a
202.5	1.0	incongruent_correct	1	2	incongruent	735	n/a
205.0	1.0	incongruent_correct	1	2	incongruent	684	n/a
207.5	1.0	incongruent_correct	1	2	incongruent	601	n/a
215.0	1.0	incongruent_correct	1	2	incongruent	775	n/a
217.5	1.0	incongruent_correct	1	2	incongruent	739	n/a
220.0	1.0	congruent_correct	1	1	congruent	648	n/a
222.5	1.0	incongruent_correct	1	2	incongruent	709	n/a
225.0	1.0	incongruent_correct	1	2	incongruent	610	n/a
227.5	1.0	congruent_correct	1	1	congruent	991	n/a
230.0	1.0	congruent_correct	1	1	congruent	801	n/a
232.5	1.0	congruent_correct	1	1	congruent	872	n/a
235.0	1.0	incongruent_correct	1	2	incongruent	675	n/a
237.5	1.0	congruent_correct	1	1	congruent	585	n/a
240.0	1.0	incongruent_correct	1	2	incongruent	581	n/a
242.5	1.0	congruent_correct	1	1	congruent	642	n/a
245.0	1.0	congruent_correct	1	1	congruent	463	n/a
247.5	1.0	incongruent_correct	1	2	incongruent	691	n/a
250.0	1.0	congruent_correct	1	1	congruent	872	n/a
252.5	1.0	congruent_correct	1	1	congruent	494	n/a
255.0	1.0	incongruent_correct	1	2	incongruent	649	n/a
257.5	1.0	congruent_correct	1	1	congruent	519	n/a
270.0	1.0	incongruent_correct	1	2	incongruent	893	n/a
272.5	1.0	congruent_correct	1	1	congruent	825	n/a
275.0	1.0	congruent_correct	1	1	congruent	687	n/a
277.5	1.0	incongruent_correct	1	2	incongruent	547	n/a
280.0	1.0	incongruent_correct	1	2	incongruent	617	n/a
282.5	1.0	congruent_correct	1	1	congruent	660	n/a
290.0	1.0	congruent_correct	1	1	congruent	883	n/a
292.5	1.0	incongruent_correct	1	2	incongruent	567	n/a
295.0	1.0	incongruent_correct	1	2	incongruent	675	n/a
297.5	1.0	congruent_correct	1	1	congruent	616	n/a
