onset	duration	weight	trial_type
24.3064	1	1.0	Correct_Task
25.9464	1	1.0	Correct_Task
27.5864	1	1.0	Correct_Task
29.2264	1	1.0	Correct_Task
30.8664	1	1.0	No_Response_Task
32.5063	1	1.0	Correct_Task
34.1463	1	1.0	Incorrect_Task
35.7863	1	1.0	No_Response_Task
37.4263	1	1.0	Incorrect_Task
39.0663	1	1.0	No_Response_Task
56.9728	1	1.0	Response_Control
58.6128	1	1.0	Response_Control
60.2528	1	1.0	Response_Control
61.8928	1	1.0	Response_Control
63.5328	1	1.0	Response_Control
65.1728	1	1.0	Response_Control
66.8128	1	1.0	Response_Control
68.4527	1	1.0	Response_Control
70.0927	1	1.0	Response_Control
71.7327	1	1.0	Response_Control
89.6392	1	1.0	Correct_Task
91.2792	1	1.0	Correct_Task
92.9192	1	1.0	Correct_Task
94.5592	1	1.0	Correct_Task
96.1992	1	1.0	Correct_Task
97.8392	1	1.0	Incorrect_Task
99.4792	1	1.0	No_Response_Task
101.1192	1	1.0	Correct_Task
102.7591	1	1.0	Incorrect_Task
104.3991	1	1.0	No_Response_Task
122.3057	1	1.0	Response_Control
123.9456	1	1.0	Response_Control
125.5856	1	1.0	Response_Control
127.2256	1	1.0	Response_Control
128.8656	1	1.0	Response_Control
130.5056	1	1.0	Response_Control
132.1456	1	1.0	Response_Control
133.7856	1	1.0	Response_Control
135.4256	1	1.0	Response_Control
137.0656	1	1.0	No_Response_Control
154.9721	1	1.0	Correct_Task
156.6121	1	1.0	No_Response_Task
158.2521	1	1.0	Correct_Task
159.892	1	1.0	Correct_Task
161.532	1	1.0	Incorrect_Task
163.172	1	1.0	Incorrect_Task
164.812	1	1.0	No_Response_Task
166.452	1	1.0	Correct_Task
168.092	1	1.0	Correct_Task
169.732	1	1.0	Correct_Task
187.6385	1	1.0	Response_Control
189.2785	1	1.0	Response_Control
190.9185	1	1.0	Response_Control
192.5585	1	1.0	Response_Control
194.1984	1	1.0	Response_Control
195.8384	1	1.0	Response_Control
197.4784	1	1.0	Response_Control
199.1184	1	1.0	Response_Control
200.7584	1	1.0	Response_Control
202.3984	1	1.0	No_Response_Control
220.3049	1	1.0	Incorrect_Task
221.9449	1	1.0	No_Response_Task
223.5849	1	1.0	Correct_Task
225.2249	1	1.0	Correct_Task
226.8649	1	1.0	Incorrect_Task
228.5048	1	1.0	No_Response_Task
230.1448	1	1.0	Correct_Task
231.7848	1	1.0	No_Response_Task
233.4248	1	1.0	Incorrect_Task
235.0648	1	1.0	Correct_Task
252.9713	1	1.0	Response_Control
254.6113	1	1.0	Response_Control
256.2513	1	1.0	Response_Control
257.8913	1	1.0	Response_Control
259.5313	1	1.0	Response_Control
261.1713	1	1.0	Response_Control
262.8113	1	1.0	Response_Control
264.4512	1	1.0	Response_Control
266.0912	1	1.0	Response_Control
267.7312	1	1.0	No_Response_Control
285.6377	1	1.0	Correct_Task
287.2777	1	1.0	Correct_Task
288.9177	1	1.0	No_Response_Task
290.5577	1	1.0	Correct_Task
292.1977	1	1.0	Incorrect_Task
293.8377	1	1.0	Incorrect_Task
295.4777	1	1.0	No_Response_Task
297.1177	1	1.0	Incorrect_Task
298.7576	1	1.0	Correct_Task
300.3976	1	1.0	Correct_Task
318.3042	1	1.0	Response_Control
319.9441	1	1.0	Response_Control
321.5841	1	1.0	Response_Control
323.2241	1	1.0	Response_Control
324.8641	1	1.0	Response_Control
326.5041	1	1.0	No_Response_Control
328.1441	1	1.0	Response_Control
329.7841	1	1.0	Response_Control
331.4241	1	1.0	Response_Control
333.064	1	1.0	No_Response_Control
350.9706	1	1.0	Incorrect_Task
352.6106	1	1.0	Incorrect_Task
354.2505	1	1.0	Incorrect_Task
355.8905	1	1.0	Correct_Task
357.5305	1	1.0	No_Response_Task
359.1705	1	1.0	Incorrect_Task
360.8105	1	1.0	Incorrect_Task
