filename	"Cue_Onset	Stim_Onset	Object_Cond	Validity_Cond	Obj_Accuracy	Obj_Acc_RT	Subseq_Recog	Subseq_Recog_RT	Subseq_Source_Mem_Acc	Subseq_Source_Mem_Acc_RT"
func/sub-01task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"4.0002	10.0002	OBJ	V	1	"
func/sub-01task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"12.0519	16.0519	OBJ	V	NR	NR	HC-HIT	0.90119	0	0.22275"
func/sub-01task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"18.0919	24.0919	GRE	V	1	0.56955	UT	UT	UT	UT"
func/sub-01task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"28.1333	32.1333	OBJ	NV	1	0.73492	LC-MISS	"
func/sub-01task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"36.1752	42.1752	OBJ	V	1	0.53184	UT	UT	UT	UT"
func/sub-01task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"44.2188	46.2188	GRE	V	1	0.60606	UT	UT	UT	UT"
func/sub-01task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"48.2563	52.2563	GRE	V	1	0.57438	UT	UT	UT	UT"
func/sub-01task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"54.2963	60.2963	OBJ	V	1	0.57372	LC-MISS	0.83176	UT	UT"
func/sub-01task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"62.3385	64.3385	OBJ	NV	1	0.87233	LC-MISS	"
func/sub-01task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"66.3754	72.3754	GRE	V	1	"
func/sub-01task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"74.4177	76.4177	GRE	V	1	0.59989	UT	UT	UT	UT"
func/sub-01task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"78.4548	82.4548	OBJ	V	1	0.55275	LC-HIT	0.87023	1	0.1378"
func/sub-01task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"84.4951	86.4951	OBJ	V	1	0.77216	LC-HIT	0.99766	0	0.41554"
func/sub-01task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"88.5324	90.5324	OBJ	V	1	0.94908	HC-HIT	"
func/sub-01task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"92.5691	96.5691	OBJ	NV	1	0.60571	LC-HIT	"
