onset	duration	trial_type	congruent_incorrect	incongruent_incorrect	Rsponse	StimVar	Stimulus	ResponseTime
0.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	1095
10.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	988
20.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	591
30.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	499
40.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	719
52.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	544
64.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	436
76.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	470
88.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	409
102.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	563
116.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	493
130.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	398
140.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	466
150.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	518
164.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	560
174.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	533
184.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	439
196.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	458
208.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	734
220.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	479
232.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	538
246.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	540
260.000	2.000	incongruent_correct	n/a	n/a	1	2	 incongruent	622
274.000	2.000	congruent_correct	n/a	n/a	1	1	 congruent	488
