onset	duration	trial_type	congruent_incorrect	Rsponse	StimVar	Stimulus	ResponseTime
0.000	2.000	incongruent_correct	n/a	1	2	 incongruent	560
10.000	2.000	congruent_correct	n/a	1	2	 incongruent	356
20.000	2.000	congruent_correct	n/a	1	1	 congruent	416
30.000	2.000	congruent_correct	n/a	1	1	 congruent	363
42.000	2.000	congruent_correct	n/a	1	2	 incongruent	406
54.000	2.000	incongruent_correct	n/a	1	1	 congruent	537
64.000	2.000	incongruent_correct	n/a	1	1	 congruent	484
76.000	2.000	incongruent_correct	n/a	1	2	 incongruent	479
88.000	2.000	incongruent_correct	n/a	1	1	 congruent	490
102.000	2.000	congruent_correct	n/a	1	2	 incongruent	420
116.000	2.000	congruent_correct	n/a	1	1	 congruent	374
130.000	2.000	incongruent_correct	n/a	1	1	 congruent	483
144.000	2.000	incongruent_correct	n/a	1	1	 congruent	521
154.000	2.000	incongruent_correct	n/a	1	2	 incongruent	471
164.000	2.000	congruent_correct	n/a	1	2	 incongruent	448
174.000	2.000	congruent_correct	n/a	1	2	 incongruent	380
184.000	2.000	incongruent_incorrect	n/a	0	1	 congruent	392
196.000	2.000	incongruent_correct	n/a	1	1	 congruent	604
208.000	2.000	congruent_correct	n/a	1	2	 incongruent	530
220.000	2.000	congruent_correct	n/a	1	2	 incongruent	466
232.000	2.000	congruent_correct	n/a	1	2	 incongruent	427
246.000	2.000	incongruent_correct	n/a	1	1	 congruent	1022
260.000	2.000	congruent_correct	n/a	1	2	 incongruent	455
274.000	2.000	incongruent_correct	n/a	1	1	 congruent	616
